prod_id_key,prod_id_value,next_month_prod_id,prepaid
Back To Basics - 3 Items,4408141643834,4399742746682,f
Back To Basics - 5 Items,4408142102586,4399742910522,f
Bahama Babe - 2 Items,4399644442682,4399742615610,f
Bahama Babe - 3 Items,4399644639290,4399742746682,f
Bahama Babe - 5 Items,4399644934202,4399742910522,f
Berry Crush - 2 Items,4366057209914,4399742615610,f
Berry Crush - 3 Items,4366057406522,4399742746682,f
Berry Crush - 5 Items,4366057963578,4399742910522,f
Blue Skies - 2 Items,4398406959162,4399742615610,f
Blue Skies - 3 Items,4398408073274,4399742746682,f
Clean Slate - 2 Items,4373264597050,4399742615610,f
Clean Slate - 3 Items,4373264957498,4399742746682,f
Dream On - 3 Items,4408153833530,4399742746682,f
Dream On - 5 Items,4408154161210,4399742910522,f
Floral Bliss - 2 Items,4320724910138,4399742615610,f
Floral Bliss - 2 Items  Auto renew,4320724910138,4399742615610,f
Floral Bliss - 3 Items,4320725106746,4399742746682,f
Glow Getter - 3 Items,4408155701306,4399742746682,f
Glow Getter - 5 Items,4408176607290,4399742910522,f
Hidden Gem - 2 Items,4382369808442,4399742615610,f
Hidden Gem - 5 Items,4382370824250,4399742910522,f
Kaleidoscope - 3 Items,4408154718266,4399742746682,f
Kaleidoscope - 5 Items,4408154980410,4399742910522,f
Making Moves - 2 Items,4398463418426,4399742615610,f
Making Moves - 3 Items,4398463516730,4399742746682,f
Making Moves 2 - 3 Items Auto renew,4411618754618,4399742746682,f
Making Moves 2 - 5 Items Auto renew,4411618820154,4399742910522,f
Matcha Cha Cha - 3 Items,4408142463034,4399742746682,f
Matcha Cha Cha - 5 Items,4408153047098,4399742910522,f
Namaste & Slay - 2 Items,2496309723194,4399742615610,f
Queen Vibes - 2 Items,4399738388538,4399742615610,f
Queen Vibes - 3 Items,4399738585146,4399742746682,f
Show Your Stripes - 2 Items,4320727367738,4399742615610,f
Show Your Stripes - 3 Items,4320729464890,4399742746682,f
Under The Radar - 2 Items,4398464499770,4399742615610,f
Under The Radar - 2 Items Auto renew,4398464499770,4399742615610,f
Under The Radar - 3 Items,4398464565306,4399742746682,f
Under The Radar - 5 Items,4399643066426,4399742910522,f
Violet Rhapsody - 3 Items,4408177164346,4399742746682,f
Violet Rhapsody - 5 Items,4408177918010,4399742910522,f
Wave Runner - 5 Items,4399737995322,4399742910522,f
