prod_id_key,prod_id_value,next_month_prod_id,prepaid
Back To Basics - 3 Items,4408141643834,4382378229818,f
Back To Basics - 5 Items,4408142102586,4382378360890,f
Bahama Babe - 2 Items,4399644442682,4382377443386,f
Bahama Babe - 3 Items,4399644639290,4382378229818,f
Berry Crush - 2 Items,4366057209914,4382377443386,f
Blue Skies - 2 Items,4398406959162,4382377443386,f
Blue Skies - 3 Items,4398408073274,4382378229818,f
Blue Skies - 5 Items,4398409089082,4382378360890,f
Clean Slate - 2 Items,4373264597050,4382377443386,f
Dream On - 3 Items,4408153833530,4382378229818,f
Dream On - 5 Items,4408154161210,4382378360890,f
Ellie Picks - 2 Items,4399742615610,4382377443386,f
Ellie Picks - 3 Items,4399742746682,4382378229818,f
Ellie Picks - 5 Items,4399742910522,4382378360890,f
Floral Bliss - 2 Items,4320724910138,4382377443386,f
Floral Bliss - 3 Items,4320725106746,4382378229818,f
Floral Bliss - 5 Items,4320726024250,4382378360890,f
Glow Getter - 3 Items,4408155701306,4382378229818,f
Glow Getter - 5 Items,4408176607290,4382378360890,f
Hidden Gem - 2 Items,4382369808442,4382377443386,f
Kaleidoscope - 3 Items,4408154718266,4382378229818,f
Kaleidoscope - 5 Items,4408154980410,4382378360890,f
Making Moves - 2 Items,4398463418426,4382377443386,f
Making Moves - 5 Items,4398463877178,4382378360890,f
Matcha Cha Cha - 3 Items,4408142463034,4382378229818,f
Matcha Cha Cha - 5 Items,4408153047098,4382378360890,f
Queen Vibes - 2 Items,4399738388538,4382377443386,f
Show Your Stripes - 2 Items,4320727367738,4382377443386,f
Show Your Stripes - 3 Items,4320729464890,4382378229818,f
Under The Radar - 2 Items,4398464499770,4382377443386,f
Under The Radar - 3 Items,4398464565306,4382378229818,f
Violet Rhapsody - 3 Items,4408177164346,4382378229818,f
Violet Rhapsody - 5 Items,4408177918010,4382378360890,f
Wave Runner - 2 Items,4399737405498,4382377443386,f
