subscription_id,product_title,raw_line_items
65520574,Violet Rhapsody - 3 Items,"[{""name"": ""shipping_interval_unit_type"", ""value"": ""month""}, {""name"": ""product_collection"", ""value"": ""Violet Rhapsody - 3 Items""}, {""name"": ""tops"", ""value"": ""M""}, {""name"": ""leggings"", ""value"": ""M""}, {""name"": ""charge_interval_unit_type"", ""value"": ""Months""}, {""name"": ""charge_interval_frequency"", ""value"": 1}, {""name"": ""main-product"", ""value"": ""true""}, {""name"": ""shipping_interval_frequency"", ""value"": 1}, {""name"": ""sports-bra"", ""value"": ""M""}, {""name"": ""product_id"", ""value"": ""4382370824250""}, {""name"": ""unique_identifier"", ""value"": ""5e1047fa-742d-4da0-aa6b-cc499a7ee708""}, {""name"": ""sports-jacket"", ""value"": ""M""}]"
65516681,Violet Rhapsody - 3 Items,"[{""name"": ""shipping_interval_unit_type"", ""value"": ""month""}, {""name"": ""product_collection"", ""value"": ""Violet Rhapsody - 3 Items""}, {""name"": ""tops"", ""value"": ""M""}, {""name"": ""leggings"", ""value"": ""M""}, {""name"": ""charge_interval_unit_type"", ""value"": ""Months""}, {""name"": ""charge_interval_frequency"", ""value"": 1}, {""name"": ""main-product"", ""value"": ""true""}, {""name"": ""shipping_interval_frequency"", ""value"": 1}, {""name"": ""sports-bra"", ""value"": ""XL""}, {""name"": ""product_id"", ""value"": ""4382370824250""}, {""name"": ""unique_identifier"", ""value"": ""bbdd256c-4bd5-462d-a38c-53e30fbab520""}, {""name"": ""sports-jacket"", ""value"": ""M""}]"
65516466,Violet Rhapsody - 3 Items,"[{""name"": ""shipping_interval_unit_type"", ""value"": ""month""}, {""name"": ""product_collection"", ""value"": ""Violet Rhapsody - 3 Items""}, {""name"": ""tops"", ""value"": ""M""}, {""name"": ""leggings"", ""value"": ""M""}, {""name"": ""charge_interval_unit_type"", ""value"": ""Months""}, {""name"": ""charge_interval_frequency"", ""value"": 1}, {""name"": ""main-product"", ""value"": ""true""}, {""name"": ""shipping_interval_frequency"", ""value"": 1}, {""name"": ""sports-bra"", ""value"": ""M""}, {""name"": ""product_id"", ""value"": ""4320731660346""}, {""name"": ""unique_identifier"", ""value"": ""4beaffbd-a8c9-4993-8858-490d0368023b""}, {""name"": ""sports-jacket"", ""value"": ""M""}]"
65502071,Kaleidoscope - 3 Items,"[{""name"": ""shipping_interval_unit_type"", ""value"": ""month""}, {""name"": ""product_collection"", ""value"": ""Kaleidoscope - 3 Items""}, {""name"": ""tops"", ""value"": ""S""}, {""name"": ""leggings"", ""value"": ""M""}, {""name"": ""charge_interval_unit_type"", ""value"": ""Months""}, {""name"": ""charge_interval_frequency"", ""value"": 1}, {""name"": ""main-product"", ""value"": ""true""}, {""name"": ""shipping_interval_frequency"", ""value"": 1}, {""name"": ""sports-bra"", ""value"": ""S""}, {""name"": ""product_id"", ""value"": ""4382370824250""}, {""name"": ""unique_identifier"", ""value"": ""9a3c5083-329d-4d04-8988-066f3826c48d""}, {""name"": ""sports-jacket"", ""value"": ""S""}]"
65501193,Glow Getter - 3 Items,"[{""name"": ""shipping_interval_unit_type"", ""value"": ""month""}, {""name"": ""product_collection"", ""value"": ""Glow Getter - 3 Items""}, {""name"": ""tops"", ""value"": ""S""}, {""name"": ""leggings"", ""value"": ""S""}, {""name"": ""charge_interval_unit_type"", ""value"": ""Months""}, {""name"": ""charge_interval_frequency"", ""value"": 1}, {""name"": ""main-product"", ""value"": ""true""}, {""name"": ""shipping_interval_frequency"", ""value"": 1}, {""name"": ""sports-bra"", ""value"": ""S""}, {""name"": ""product_id"", ""value"": ""4382370824250""}, {""name"": ""unique_identifier"", ""value"": ""b146d007-7b76-4a9f-8c03-a35256f16d6a""}, {""name"": ""sports-jacket"", ""value"": ""S""}]"
65500036,Kaleidoscope - 3 Items,"[{""name"": ""shipping_interval_unit_type"", ""value"": ""month""}, {""name"": ""product_collection"", ""value"": ""Kaleidoscope - 3 Items""}, {""name"": ""tops"", ""value"": ""M""}, {""name"": ""leggings"", ""value"": ""M""}, {""name"": ""charge_interval_unit_type"", ""value"": ""Months""}, {""name"": ""charge_interval_frequency"", ""value"": 1}, {""name"": ""main-product"", ""value"": ""true""}, {""name"": ""shipping_interval_frequency"", ""value"": 1}, {""name"": ""sports-bra"", ""value"": ""M""}, {""name"": ""product_id"", ""value"": ""4382370824250""}, {""name"": ""unique_identifier"", ""value"": ""0f2b282c-ad6e-4c78-aa0d-17443371afae""}, {""name"": ""sports-jacket"", ""value"": ""M""}]"
65499613,Dream On - 3 Items,"[{""name"": ""shipping_interval_unit_type"", ""value"": ""month""}, {""name"": ""product_collection"", ""value"": ""Dream On - 3 Items""}, {""name"": ""sports-jacket"", ""value"": ""S""}, {""name"": ""leggings"", ""value"": ""S""}, {""name"": ""charge_interval_unit_type"", ""value"": ""Months""}, {""name"": ""charge_interval_frequency"", ""value"": 1}, {""name"": ""main-product"", ""value"": ""true""}, {""name"": ""shipping_interval_frequency"", ""value"": 1}, {""name"": ""sports-bra"", ""value"": ""S""}, {""name"": ""product_id"", ""value"": ""4373306998842""}, {""name"": ""unique_identifier"", ""value"": ""02e0b274-74ed-47b0-a320-c4796df747a5""}, {""name"": ""tops"", ""value"": ""S""}]"
65486529,Kaleidoscope - 3 Items,"[{""name"": ""shipping_interval_unit_type"", ""value"": ""month""}, {""name"": ""product_collection"", ""value"": ""Kaleidoscope - 3 Items""}, {""name"": ""tops"", ""value"": ""M""}, {""name"": ""leggings"", ""value"": ""M""}, {""name"": ""charge_interval_unit_type"", ""value"": ""Months""}, {""name"": ""charge_interval_frequency"", ""value"": 1}, {""name"": ""main-product"", ""value"": ""true""}, {""name"": ""shipping_interval_frequency"", ""value"": 1}, {""name"": ""sports-bra"", ""value"": ""M""}, {""name"": ""product_id"", ""value"": ""4382370824250""}, {""name"": ""unique_identifier"", ""value"": ""255d88ea-61e8-4b7e-a075-0fc036a27852""}, {""name"": ""sports-jacket"", ""value"": ""M""}]"
65479681,Violet Rhapsody - 5 Items,"[{""name"": ""shipping_interval_unit_type"", ""value"": ""month""}, {""name"": ""product_collection"", ""value"": ""Violet Rhapsody - 5 Items""}, {""name"": ""sports-jacket"", ""value"": ""M""}, {""name"": ""leggings"", ""value"": ""M""}, {""name"": ""charge_interval_unit_type"", ""value"": ""Months""}, {""name"": ""charge_interval_frequency"", ""value"": ""1""}, {""name"": ""main-product"", ""value"": ""true""}, {""name"": ""shipping_interval_frequency"", ""value"": ""1""}, {""name"": ""sports-bra"", ""value"": ""M""}, {""name"": ""product_id"", ""value"": ""4373306998842""}, {""name"": ""unique_identifier"", ""value"": ""f2771ac7-3a40-488d-9018-8acdb910fc79""}, {""name"": ""tops"", ""value"": ""M""}]"
65473776,Matcha Cha Cha - 5 Items,"[{""name"": ""shipping_interval_unit_type"", ""value"": ""month""}, {""name"": ""product_collection"", ""value"": ""Matcha Cha Cha - 5 Items""}, {""name"": ""tops"", ""value"": ""M""}, {""name"": ""leggings"", ""value"": ""L""}, {""name"": ""charge_interval_unit_type"", ""value"": ""Months""}, {""name"": ""charge_interval_frequency"", ""value"": 1}, {""name"": ""main-product"", ""value"": ""true""}, {""name"": ""shipping_interval_frequency"", ""value"": 1}, {""name"": ""sports-bra"", ""value"": ""M""}, {""name"": ""product_id"", ""value"": ""4382370824250""}, {""name"": ""unique_identifier"", ""value"": ""e7d265aa-3098-4b3e-84a1-07d0b7380c92""}, {""name"": ""sports-jacket"", ""value"": ""M""}, {""name"": ""gloves"", ""value"": ""S""}]"
