prod_id_key,prod_id_value,next_month_prod_id,prepaid
3 MONTHS,23729012754,1719728111674,t
power_moves3,69026938898,1719732535354,f
power_moves5,69026316306,1719728111674,f
go_time3,52386937778,1719732535354,f
go_time5,78480408594,1719728111674,f
power_moves3_auto,78541520914,1719732535354,f
power_moves5_auto,78657093650,1719728111674,f
go_time3_auto,91049066514,1719732535354,f
go_time5_auto1,91049230354,1719728111674,f
go_time5_auto2,91049197586,1719728111674,f
heart_soul_3item,91236466706,1719732535354,f
heart_soul_3item_auto,109303332882,1719732535354,f
heart_soul_5item,109301366802,1719728111674,f
heart_soul_5item_auto,109301366802,1719728111674,f
go_time_3item,52386037778,1719732535354,f
fit_fierce_5item,91235975186,1719728111674,f
modern_muse_5itemauto,91236368402,1719728111674,f
power_move_3_item,69026938898,1719732535354,f
fit_fierce_3item,91236171794,1719732535354,f
modern_muse_5item,91236368402,1719728111674,f
modern_muse_3item,91236466706,1719732535354,f
fit_fierce_3itemauto,91236171794,1719732535354,f
modern_muse_3itemauto,91236466706,1719732535354,f
La Vie En Rose - 3 Item,138427301906,1719732535354,f
La Vie En Rose - 3 Item  Auto renew,159581274130,1719732535354,f
La Vie En Rose - 5 Item,138427203602,1719728111674,f
La Vie En Rose - 5 Item  Auto renew,159580848146,1719728111674,f
Sweetest Thing - 3 Item,138427596818,1719732535354,f
Sweetest Thing - 3 Item  Auto renew,159587827730,1719732535354,f
Sweetest Thing - 5 Item,138427465746,1719728111674,f
Sweetest Thing - 5 Item  Auto renew,159586746386,1719728111674,f
Give Me AmorÂ - 3 Item,138427793426,1719732535354,f
Give Me Amore - 3 Item  Auto renew,159593693202,1719732535354,f
Give Me AmorÂ - 5 Item,138427695122,1719728111674,f
Give Me Amore - 5 Item  Auto renew,163444719634,1719728111674,f
Desert Sage - 3 Item,197985992722,1719732535354,f
Desert Sage - 3 Item Autorenew,210212388882,1719732535354,f
Desert Sage - 5 Item,197983830034,1719728111674,f
Desert Sage - 5 Item Autorenew,210212356114,1719728111674,f
Running Wild - 3 Item,197986877458,1719732535354,f
Running Wild - 3 item Autorenew,210212519954,1719732535354,f
Running Wild - 5 Item,197986385938,1719728111674,f
Running Wild - 5 Item Autorenew,210212454418,1719728111674,f
After Dark - 3 Item,197987074066,1719732535354,f
After Dark - 3 Item Autorenew,210212618258,1719732535354,f
After Dark -5 Item,197986910226,1719728111674,f
After Dark - 5 Item Autorenew,210212585490,1719728111674,f
Set the Pace 3 Item,175541518354,1719732535354,f
In The Zone - 3 Item,175540207634,1719732535354,f
In The Zone - 5 Item,175535685650,1719728111674,f
May Flowers - 3 Items,207131443218,1719732535354,f
May Flowers - 3 Items Auto renew,219709145106,1719732535354,f
May Flowers - 5 Items,207131279378,1719728111674,f
May Flowers - 5 Items Auto renew,219709276178,1719728111674,f
Wild Orchid -3 Items,207131803666,1719732535354,f
Wild Orchid - 3 Items Auto renew,219709407250,1719732535354,f
Wild Orchid - 5 Items,207131705362,1719728111674,f
Wild Orchid - 5 Items Auto renew,219709538322,1719728111674,f
Sky's the Limit - 3 Items,207132033042,1719732535354,f
Sky's the Limit - 3 Items Auto renew,219709702162,1719732535354,f
Sky's the Limit - 5 Items,207131967506,1719728111674,f
Skys the Limit - 5 Items Auto renew,219709767698,1719728111674,f
Rose All Day - 3 Items,224674119698,1719732535354,f
Rose All Day - 5 Items,224674086930,1719728111674,f
Rose All Day - 3 Items Auto renew,224675037202,1719732535354,f
Rose All Day - 5 Items Auto renew,224674971666,1719728111674,f
Weekend Warrior - 3 Items,224674447378,1719732535354,f
Weekend Warrior - 3 Items Auto renew,224675364882,1719732535354,f
Weekend Warrior - 5 Items,224674381842,1719728111674,f
Weekend Warrior - 5 Items Auto renew,224675299346,1719728111674,f
Back to Black - 3 Items,224674316306,1719732535354,f
Back to Black - 3 Items Auto renew,224675233810,1719732535354,f
Back to Black - 5 Items,224674283538,1719728111674,f
Back to Black - 5 Items Auto renew,224675135506,1719728111674,f
Print Paradise - 3 Items,1446651330618,1719732535354,f
Print Paradise - 5 Items,1446647234618,1719728111674,f
Print Paradise - 3 Items Auto renew,1508549427258,1719732535354,f
Print Paradise - 5 Items Auto renew,1508553392186,1719728111674,f
Seeing Stars - 3 Items,1446660702266,1719732535354,f
Seeing Stars - 5 Items,1446656999482,1719728111674,f
Seeing Stars - 3 Items Auto renew,1508540219450,1719732535354,f
Seeing Stars - 5 Items Auto renew,1508544643130,1719728111674,f
Vitamin Sea - 3 Items,1446669287482,1719732535354,f
Vitamin Sea - 5 Items,1446664306746,1719728111674,f
Vitamin Sea - 3 Items Auto renew,1508523147322,1719732535354,f
Vitamin Sea - 5 Items Auto renew,1508537106490,1719728111674,f
