id,subscription_id,address_id,customer_id,created_at,updated_at,next_charge_scheduled_at,cancelled_at,product_title,price,quantity,status,shopify_product_id,shopify_variant_id,sku,order_interval_unit,order_interval_frequency,charge_interval_frequency,order_day_of_month,order_day_of_week,raw_line_item_properties,synced_at,expire_after_specific_number_charges
2073,9498754,6378778,6600025,11/29/17 23:30,12/24/17 15:28,1/29/18 0:00,,Go Time - 5 Item,49.95,1,ACTIVE,44383469586,3.88701E+11,7.22458E+11,month,1,1,0,,"[{""name"": ""charge_interval_frequency"", ""value"": ""1""}, {""name"": ""charge_interval_unit_type"", ""value"": ""Months""}, {""name"": ""leggings"", ""value"": ""XS""}, {""name"": ""main-product"", ""value"": ""true""}, {""name"": ""shipping_interval_frequency"", ""value"": ""1""}, {""name"": ""shipping_interval_unit_type"", ""value"": ""Months""}, {""name"": ""sports-bra"", ""value"": ""S""}, {""name"": ""tops"", ""value"": ""S""}]",,0
2163,9480935,6367709,6588989,11/29/17 13:50,12/28/17 10:43,1/29/18 0:00,,Go Time - 5 Item,49.95,1,ACTIVE,44383469586,3.88701E+11,7.22458E+11,month,1,1,0,,"[{""name"": ""charge_interval_frequency"", ""value"": ""1""}, {""name"": ""charge_interval_unit_type"", ""value"": ""Months""}, {""name"": ""leggings"", ""value"": ""L""}, {""name"": ""main-product"", ""value"": ""true""}, {""name"": ""shipping_interval_frequency"", ""value"": ""1""}, {""name"": ""shipping_interval_unit_type"", ""value"": ""Months""}, {""name"": ""sports-bra"", ""value"": ""L""}, {""name"": ""tops"", ""value"": ""L""}]",,0
2206,9470506,6361126,6582565,11/29/17 3:53,12/19/17 10:21,1/29/18 0:00,,Go Time - 5 Item,49.95,1,ACTIVE,44383469586,3.88701E+11,7.22458E+11,month,1,1,0,,"[{""name"": ""charge_interval_frequency"", ""value"": ""1""}, {""name"": ""charge_interval_unit_type"", ""value"": ""Months""}, {""name"": ""leggings"", ""value"": ""S""}, {""name"": ""main-product"", ""value"": ""true""}, {""name"": ""shipping_interval_frequency"", ""value"": ""1""}, {""name"": ""shipping_interval_unit_type"", ""value"": ""Months""}, {""name"": ""sports-bra"", ""value"": ""S""}, {""name"": ""tops"", ""value"": ""S""}]",,0
2330,9454852,6351697,6573289,11/28/17 15:09,12/16/17 9:56,,,Go Time - 5 Item,49.95,1,ACTIVE,44383469586,3.88701E+11,7.22458E+11,month,1,1,0,,"[{""name"": ""charge_interval_frequency"", ""value"": ""1""}, {""name"": ""charge_interval_unit_type"", ""value"": ""Months""}, {""name"": ""leggings"", ""value"": ""M""}, {""name"": ""main-product"", ""value"": ""true""}, {""name"": ""shipping_interval_frequency"", ""value"": ""1""}, {""name"": ""shipping_interval_unit_type"", ""value"": ""Months""}, {""name"": ""sports-bra"", ""value"": ""L""}, {""name"": ""tops"", ""value"": ""L""}]",,0
2468,9436266,6340062,6561939,11/28/17 0:14,12/9/17 14:04,1/28/18 0:00,,Alternate Monthly Box,49.95,1,ACTIVE,44383469586,3.88701E+11,7.22458E+11,month,1,1,0,,"[{""name"": ""charge_interval_frequency"", ""value"": ""1""}, {""name"": ""charge_interval_unit_type"", ""value"": ""Months""}, {""name"": ""leggings"", ""value"": ""XL""}, {""name"": ""main-product"", ""value"": ""true""}, {""name"": ""shipping_interval_frequency"", ""value"": ""1""}, {""name"": ""shipping_interval_unit_type"", ""value"": ""Months""}, {""name"": ""sports-bra"", ""value"": ""XL""}, {""name"": ""tops"", ""value"": ""XL""}]",,0
2598,9423870,6333150,6555201,11/27/17 20:18,12/12/17 23:50,1/8/18 0:00,,Alternate Monthly Box,49.95,1,ACTIVE,44383469586,3.88701E+11,7.22458E+11,month,1,1,0,,"[{""name"": ""charge_interval_frequency"", ""value"": ""1""}, {""name"": ""charge_interval_unit_type"", ""value"": ""Months""}, {""name"": ""leggings"", ""value"": ""M""}, {""name"": ""main-product"", ""value"": ""true""}, {""name"": ""shipping_interval_frequency"", ""value"": ""1""}, {""name"": ""shipping_interval_unit_type"", ""value"": ""Months""}, {""name"": ""sports-bra"", ""value"": ""M""}, {""name"": ""tops"", ""value"": ""M""}]",,0
2709,9414078,6327405,6549606,11/27/17 17:07,12/15/17 16:39,1/27/18 0:00,,Go Time - 5 Item,49.95,1,ACTIVE,44383469586,3.88701E+11,7.22458E+11,month,1,1,0,,"[{""name"": ""charge_interval_frequency"", ""value"": ""1""}, {""name"": ""charge_interval_unit_type"", ""value"": ""Months""}, {""name"": ""leggings"", ""value"": ""L""}, {""name"": ""main-product"", ""value"": ""true""}, {""name"": ""shipping_interval_frequency"", ""value"": ""1""}, {""name"": ""shipping_interval_unit_type"", ""value"": ""Months""}, {""name"": ""sports-bra"", ""value"": ""L""}, {""name"": ""tops"", ""value"": ""L""}]",,0
2741,9410512,6325453,6547732,11/27/17 15:54,12/23/17 20:44,1/27/18 0:00,,Go Time - 5 Item,49.95,1,ACTIVE,44383469586,3.88701E+11,7.22458E+11,month,1,1,0,,"[{""name"": ""charge_interval_frequency"", ""value"": ""1""}, {""name"": ""charge_interval_unit_type"", ""value"": ""Months""}, {""name"": ""leggings"", ""value"": ""XL""}, {""name"": ""main-product"", ""value"": ""true""}, {""name"": ""shipping_interval_frequency"", ""value"": ""1""}, {""name"": ""shipping_interval_unit_type"", ""value"": ""Months""}, {""name"": ""sports-bra"", ""value"": ""XL""}, {""name"": ""tops"", ""value"": ""XL""}]",,0
2862,9392431,6314755,6537223,11/27/17 9:09,12/18/17 7:15,1/27/18 0:00,,Go Time - 5 Item,49.95,1,ACTIVE,44383469586,3.88701E+11,7.22458E+11,month,1,1,0,,"[{""name"": ""charge_interval_frequency"", ""value"": ""1""}, {""name"": ""charge_interval_unit_type"", ""value"": ""Months""}, {""name"": ""leggings"", ""value"": ""S""}, {""name"": ""main-product"", ""value"": ""true""}, {""name"": ""shipping_interval_frequency"", ""value"": ""1""}, {""name"": ""shipping_interval_unit_type"", ""value"": ""Months""}, {""name"": ""sports-bra"", ""value"": ""M""}, {""name"": ""tops"", ""value"": ""S""}]",,0
2930,9385748,6310895,6533321,11/27/17 0:50,12/18/17 23:50,1/27/18 0:00,,Go Time - 5 Item,49.95,1,ACTIVE,44383469586,3.88701E+11,7.22458E+11,month,1,1,0,,"[{""name"": ""charge_interval_frequency"", ""value"": ""1""}, {""name"": ""charge_interval_unit_type"", ""value"": ""Months""}, {""name"": ""leggings"", ""value"": ""L""}, {""name"": ""main-product"", ""value"": ""true""}, {""name"": ""shipping_interval_frequency"", ""value"": ""1""}, {""name"": ""shipping_interval_unit_type"", ""value"": ""Months""}, {""name"": ""sports-bra"", ""value"": ""L""}, {""name"": ""tops"", ""value"": ""XL""}]",,0
