prod_id_key,prod_id_value,next_month_prod_id,prepaid,,,,,,
3 MONTHS,23729012754,1607819886643,t,,,,,,
power_moves3,69026938898,1607819821107,f,,,,,,
power_moves5,69026316306,1607819886643,f,,,,,,
go_time3,52386937778,1607819821107,f,,,,,,
go_time5,78480408594,1607819886643,f,,,,,,
power_moves3_auto,78541520914,1607819821107,f,,,,,,
power_moves5_auto,78657093650,1607819886643,f,,,,,,
go_time3_auto,91049066514,1607819821107,f,,,,,,
go_time5_auto1,91049230354,1607819886643,f,,,,,,
go_time5_auto2,91049197586,1607819886643,f,,,,,,
heart_soul_3item,91236466706,1607819821107,f,,,,,,
heart_soul_3item_auto,109303332882,1607819821107,f,,,,,,
heart_soul_5item,109301366802,1607819886643,f,,,,,,
heart_soul_5item_auto,109301366802,1607819886643,f,,,,,,
go_time_3item,52386037778,1607819821107,f,,,,,,
fit_fierce_5item,91235975186,1607819886643,f,,,,,,
modern_muse_5itemauto,91236368402,1607819886643,f,,,,,,
power_move_3_item,69026938898,1607819821107,f,,,,,,
fit_fierce_3item,91236171794,1607819821107,f,,,,,,
modern_muse_5item,91236368402,1607819886643,f,,,,,,
modern_muse_3item,91236466706,1607819821107,f,,,,,,
fit_fierce_3itemauto,91236171794,1607819821107,f,,,,,,
modern_muse_3itemauto,91236466706,1607819821107,f,,,,,,
La Vie En Rose - 3 Item,138427301906,1607819821107,f,,,,,,
La Vie En Rose - 3 Item  Auto renew,159581274130,1607819821107,f,,,,,,
La Vie En Rose - 5 Item,138427203602,1607819886643,f,,,,,,
La Vie En Rose - 5 Item  Auto renew,159580848146,1607819886643,f,,,,,,
Sweetest Thing - 3 Item,138427596818,1607819821107,f,,,,,,
Sweetest Thing - 3 Item  Auto renew,159587827730,1607819821107,f,,,,,,
Sweetest Thing - 5 Item,138427465746,1607819886643,f,,,,,,
Sweetest Thing - 5 Item  Auto renew,159586746386,1607819886643,f,,,,,,
Give Me AmorÂ - 3 Item,138427793426,1607819821107,f,,,,,,
Give Me Amore - 3 Item  Auto renew,159593693202,1607819821107,f,,,,,,
Give Me AmorÂ - 5 Item,138427695122,1607819886643,f,,,,,,
Give Me Amore - 5 Item  Auto renew,163444719634,1607819886643,f,,,,,,
Desert Sage - 3 Item,197985992722,1607819821107,f,,,,,,
Desert Sage - 3 Item Autorenew,210212388882,1607819821107,f,,,,,,
Desert Sage - 5 Item,197983830034,1607819886643,f,,,,,,
Desert Sage - 5 Item Autorenew,210212356114,1607819886643,f,,,,,,
Running Wild - 3 Item,197986877458,1607819821107,f,,,,,,
Running Wild - 3 item Autorenew,210212519954,1607819821107,f,,,,,,
Running Wild - 5 Item,197986385938,1607819886643,f,,,,,,
Running Wild - 5 Item Autorenew,210212454418,1607819886643,f,,,,,,
After Dark - 3 Item,197987074066,1607819821107,f,,,,,,
After Dark - 3 Item Autorenew,210212618258,1607819821107,f,,,,,,
After Dark -5 Item,197986910226,1607819886643,f,,,,,,
After Dark - 5 Item Autorenew,210212585490,1607819886643,f,,,,,,
Set the Pace 3 Item,175541518354,1607819821107,f,,,,,,
In The Zone - 3 Item,175540207634,1607819821107,f,,,,,,
In The Zone - 5 Item,175535685650,1607819886643,f,,,,,,
May Flowers - 3 Items,207131443218,1607819821107,f,,,,,,
May Flowers - 3 Items Auto renew,219709145106,1607819821107,f,,,,,,
May Flowers - 5 Items,207131279378,1607819886643,f,,,,,,
May Flowers - 5 Items Auto renew,219709276178,1607819886643,f,,,,,,
Wild Orchid -3 Items,207131803666,1607819821107,f,,,,,,
Wild Orchid - 3 Items Auto renew,219709407250,1607819821107,f,,,,,,
Wild Orchid - 5 Items,207131705362,1607819886643,f,,,,,,
Wild Orchid - 5 Items Auto renew,219709538322,1607819886643,f,,,,,,
Sky's the Limit - 3 Items,207132033042,1607819821107,f,,,,,,
Sky's the Limit - 3 Items Auto renew,219709702162,1607819821107,f,,,,,,
Sky's the Limit - 5 Items,207131967506,1607819886643,f,,,,,,
Skys the Limit - 5 Items Auto renew,219709767698,1607819886643,f,,,,,,
Rose All Day - 3 Items,224674119698,1607819821107,f,,,,,,
Rose All Day - 5 Items,224674086930,1607819886643,f,,,,,,
Rose All Day - 3 Items Auto renew,224675037202,1607819821107,f,,,,,,
Rose All Day - 5 Items Auto renew,224674971666,1607819886643,f,,,,,,
Weekend Warrior - 3 Items,224674447378,1607819821107,f,,,,,,
Weekend Warrior - 3 Items Auto renew,224675364882,1607819821107,f,,,,,,
Weekend Warrior - 5 Items,224674381842,1607819886643,f,,,,,,
Weekend Warrior - 5 Items Auto renew,224675299346,1607819886643,f,,,,,,
Back to Black - 3 Items,224674316306,1607819821107,f,,,,,,
Back to Black - 3 Items Auto renew,224675233810,1607819821107,f,,,,,,
Back to Black - 5 Items,224674283538,1607819886643,f,,,,,,
Back to Black - 5 Items Auto renew,224675135506,1607819886643,f,,,,,,
Print Paradise - 3 Items,1446651330618,1607819821107,f,,,,,,
Print Paradise - 5 Items,1446647234618,1607819821107,f,,,,,,
Print Paradise - 3 Items Auto renew,1508549427258,1607819821107,f,,,,,,
Print Paradise - 5 Items Auto renew,1508553392186,1607819886643,f,,,,,,
Seeing Stars - 3 Items,1446660702266,1607819821107,f,,,,,,
Seeing Stars - 5 Items,1446656999482,1607819886643,f,,,,,,
Seeing Stars - 3 Items Auto renew,1508540219450,1607819821107,f,,,,,,
Seeing Stars - 5 Items Auto renew,1508544643130,1607819886643,f,,,,,,
Vitamin Sea - 3 Items,1446669287482,1607819821107,f,,,,,,
Vitamin Sea - 5 Items,1446664306746,1607819886643,f,,,,,,
Vitamin Sea - 3 Items Auto renew,1508523147322,1607819821107,f,,,,,,
Vitamin Sea - 5 Items Auto renew,1508537106490,1607819886643,f,,,,,,
Meet Your Match - 3 Items,1719732535354,1607819821107,f,,,,,,
Meet Your Match - 5 Items,1719728111674,1607819886643,f,,,,,,
Meet Your Match - 3 Items Auto renew,1778624921658,1607819821107,f,,,,,,
Meet your Match - 5 items Auto renew,1778619449402,1607819886643,f,,,,,,
Tough Luxe - 3 Items,1719724507194,1607819821107,f,,,,,,
Tough Luxe - 5 Items,1719720935482,1607819886643,f,,,,,,
