prod_id_key,prod_id_value,next_month_prod_id,prepaid
Bahama Babe - 2 Items,4399644442682,4399644639290,f
Berry Crush - 2 Items,4366057209914,4366057406522,f
Blue Skies - 2 Items,4398406959162,4398408073274,f
Floral Bliss - 2 Items,4320724910138,4320725106746,f
Hidden Gem - 2 Items,4382369808442,4382369906746,f
Making Moves - 2 Items,4398463418426,4398463516730,f
Making Moves - 2 Items Auto renew,4398463418426,4398463516730,f
Namaste & Slay - 2 Items,2496309723194,2494106861626,f
Queen Vibes - 2 Items,4399738388538,4399738585146,f
Show Your Stripes - 2 Items,4320727367738,4320729464890,f
Under The Radar - 2 Items,4398464499770,4398464565306,f
Wave Runner - 2 Items,4399737405498,4399737798714,f
