sku,product_title,shopify_product_id,shopify_variant_id,product_collection
745934135465,Bahama Babe - 3 Items,4399644639290,31328097140794,Bahama Babe - 3 Items
764204966561,Berry Crush - 3 Items,4366057406522,31248693231674,Berry Crush - 3 Items
745934135328,Blue Skies - 3 Items,4398408073274,31325564534842,Blue Skies - 3 Items
764204961917,Floral Bliss - 3 Items,4320725106746,31031895326778,Floral Bliss - 3 Items
745934094779,Hidden Gem - 3 Items,4382369906746,31286819389498,Hidden Gem - 3 Items
745934135403,Making Moves - 3 Items,4398463516730,31325705797690,Making Moves - 3 Items
764204472413,Namaste & Slay - 3 Items,2494106861626,23579315077178,Namaste & Slay - 3 Items
745934135526,Queen Vibes - 3 Items,4399738585146,31328291160122,Queen Vibes - 3 Items
764204961979,Show Your Stripes - 3 Items,4320729464890,31031901323322,Show Your Stripes - 3 Items
745934135434,Under The Radar - 3 Items,4398464565306,31325709959226,Under The Radar - 3 Items
745934135496,Wave Runner - 3 Items,4399737798714,31328290308154,Wave Runner - 3 Items
