prod_id_key,prod_id_value,next_month_prod_id,prepaid
Bahama Babe - 3 Items,4399644639290,4366057406522,f
Bahama Babe - 5 Items,4399644934202,4366057963578,f
Bayside Breeze - 2 Items,4382371348538,4366057209914,f
Bayside Breeze - 3 Items,4382371840058,4366057406522,f
Bayside Breeze - 5 Items,4382372233274,4366057963578,f
Blue Skies - 3 Items,4398408073274,4366057406522,f
Blue Skies - 5 Items,4398409089082,4366057963578,f
Boss Babe - 2 Items,2525979639866,4366057209914,f
Boss Babe - 3 Items,2525980524602,4366057406522,f
Boss Babe - 5 Items,2525981343802,4366057963578,f
Canyon Sunset - 2 Items,2525982425146,4366057209914,f
Clean Slate - 2 Items,4373264597050,4366057209914,f
Clean Slate - 3 Items,4373264957498,4366057406522,f
Clean Slate - 5 Items,4373306998842,4366057963578,f
Cupids Kiss - 2 Items,4382377443386,4366057209914,f
Cupids Kiss - 3 Items,4382378229818,4366057406522,f
Cupids Kiss - 5 Items,4382378360890,4366057963578,f
Gear Up - 2 Items,4320731365434,4366057209914,f
Gear Up - 3 Items,4320731660346,4366057406522,f
Gear Up - 5 Items,4320732905530,4366057963578,f
Hidden Gem - 2 Items,4382369808442,4366057209914,f
Hidden Gem - 3 Items,4382369906746,4366057406522,f
Hidden Gem - 3 Items Auto renew,4382369906746,4366057406522,f
Hidden Gem - 5 Items,4382370824250,4366057963578,f
Knockout - 2 Items,4382379376698,4366057209914,f
Knockout - 3 Items,4382379475002,4366057406522,f
Knockout - 5 Items Auto renew,4382379999290,4366057963578,f
Making Moves - 3 Items,4398463516730,4366057406522,f
Making Moves - 5 Items,4398463877178,4366057963578,f
Out Of The Blue - 2 Items,4385218494522,4366057209914,f
Out Of The Blue - 3 Items,4385218953274,4366057406522,f
Queen Vibes - 3 Items,4399738585146,4366057406522,f
Queen Vibes - 5 Items,4399738912826,4366057963578,f
Ready Set Go - 2 Items,4383945261114,4366057209914,f
Ready Set Go - 3 Items,4385207582778,4366057406522,f
Second Skin - 2 Items,2525983866938,4366057209914,f
Second Skin - 3 Items,2525983998010,4366057406522,f
Second Skin - 5 Items,2525984456762,4366057963578,f
Supernova - 2 Items,4382368825402,4366057209914,f
Supernova - 3 Items,4382368890938,4366057406522,f
Supernova - 5 Items,4382369349690,4366057963578,f
Ultraviolet - 2 Items,2514832261178,4366057209914,f
Ultraviolet - 3 Items,2514833440826,4366057406522,f
Ultraviolet - 5 Items,2514833866810,4366057963578,f
Under The Radar - 3 Items,4398464565306,4366057406522,f
Under The Radar - 5 Items,4399643066426,4366057963578,f
Wave Runner - 3 Items,4399737798714,4366057406522,f
Wave Runner - 5 Items,4399737995322,4366057963578,f
