prod_id_key,prod_id_value,next_month_prod_id,prepaid
Bahama Babe - 3 Items,4399644639290,4320725106746,f
Bahama Babe - 5 Items,4399644934202,4320726024250,f
Bayside Breeze - 2 Items,4382371348538,4320724910138,f
Bayside Breeze - 3 Items,4382371840058,4320725106746,f
Berry Crush - 2 Items,4366057209914,4320724910138,f
Berry Crush - 3 Items,4366057406522,4320725106746,f
Berry Crush - 5 Items,4366057963578,4320726024250,f
Blue Skies - 3 Items,4398408073274,4320725106746,f
Blue Skies - 5 Items,4398409089082,4320726024250,f
City Limits - 3 Items,4366061174842,4320725106746,f
Clean Slate - 2 Items,4373264597050,4320724910138,f
Clean Slate - 3 Items,4373264957498,4320725106746,f
Clean Slate - 5 Items,4373306998842,4320726024250,f
Cupids Kiss - 3 Items,4382378229818,4320725106746,f
Cupids Kiss - 5 Items,4382378360890,4320726024250,f
Hidden Gem - 2 Items,4382369808442,4320724910138,f
Hidden Gem - 3 Items,4382369906746,4320725106746,f
Hidden Gem - 3 Items Auto renew,4382369906746,4320725106746,f
Knockout - 2 Items Auto renew,4382379376698,4320724910138,f
Knockout - 3 Items,4382379475002,4320725106746,f
Knockout - 5 Items,4382379999290,4320726024250,f
Making Moves - 3 Items,4398463516730,4320725106746,f
Making Moves - 5 Items,4398463877178,4320726024250,f
Out Of The Blue - 3 Items,4385218953274,4320725106746,f
Out Of The Blue - 5 Items,4385220067386,4320726024250,f
Queen Vibes - 3 Items,4399738585146,4320725106746,f
Queen Vibes - 5 Items,4399738912826,4320726024250,f
Ready Set Go - 3 Items,4385207582778,4320725106746,f
Ready Set Go - 5 Items,4385217249338,4320726024250,f
Second Skin - 2 Items,2525983866938,4320724910138,f
Second Skin - 3 Items,2525983998010,4320725106746,f
Second Skin - 5 Items,2525984456762,4320726024250,f
Supernova - 2 Items,4382368825402,4320724910138,f
Supernova - 2 Items Auto renew,4382368825402,4320724910138,f
Supernova - 3 Items,4382368890938,4320725106746,f
Supernova - 3 Items Auto renew,4382368890938,4320725106746,f
Ultraviolet - 3 Items,2514833440826,4320725106746,f
Under The Radar - 3 Items,4398464565306,4320725106746,f
Under The Radar - 5 Items,4399643066426,4320726024250,f
Wave Runner - 3 Items,4399737798714,4320725106746,f
Wave Runner - 5 Items,4399737995322,4320726024250,f
