prod_id_key,prod_id_value,next_month_prod_id,prepaid
Bayside Breeze - 2 Items,4382371348538,4398463418426,f
Bayside Breeze - 2 Items Auto renew,4382371348538,4398463418426,f
Bayside Breeze - 3 Items,4382371840058,4398463516730,f
Bayside Breeze - 3 Items Auto renew,4382371840058,4398463516730,f
Bayside Breeze - 5 Items,4382372233274,4398463877178,f
Boss Babe - 2 Items,2525979639866,4398463418426,f
Boss Babe - 2 Items  Auto renew,2525979639866,4398463418426,f
Boss Babe - 3 Items,2525980524602,4398463516730,f
Boss Babe - 5 Items,2525981343802,4398463877178,f
Clean Slate - 2 Items,4373264597050,4398463418426,f
Clean Slate - 2 Items Auto renew,4373264597050,4398463418426,f
Clean Slate - 3 Items,4373264957498,4398463516730,f
Clean Slate - 3 Items Auto renew,4373264957498,4398463516730,f
Clean Slate - 5 Items,4373306998842,4398463877178,f
Comfort Zone - 3 Items,4320734609466,4398463516730,f
Crunch Time - 5 Items,4366080311354,4398463877178,f
Cupids Kiss - 2 Items,4382377443386,4398463418426,f
Cupids Kiss - 2 Items Auto renew,4382377443386,4398463418426,f
Cupids Kiss - 3 Items,4382378229818,4398463516730,f
Cupids Kiss - 3 Items Auto renew,4382378229818,4398463516730,f
Cupids Kiss - 5 Items,4382378360890,4398463877178,f
Gear Up - 2 Items,4320731365434,4398463418426,f
Gear Up - 3 Items,4320731660346,4398463516730,f
Gear Up - 3 Items  Auto renew,4320731660346,4398463516730,f
Gear Up - 5 Items,4320732905530,4398463877178,f
Hidden Gem - 2 Items,4382369808442,4398463418426,f
Hidden Gem - 2 Items Auto renew,4382369808442,4398463418426,f
Hidden Gem - 3 Items,4382369906746,4398463516730,f
Hidden Gem - 5 Items,4382370824250,4398463877178,f
Ivy League - 2 Items,4366077132858,4398463418426,f
Ivy League - 3 Items,4366077591610,4398463516730,f
Knockout - 2 Items,4382379376698,4398463418426,f
Knockout - 2 Items Auto renew,4382379376698,4398463418426,f
Knockout - 3 Items,4382379475002,4398463516730,f
Knockout - 3 Items Auto renew,4382379475002,4398463516730,f
Knockout - 5 Items,4382379999290,4398463877178,f
Out Of The Blue - 2 Items,4385218494522,4398463418426,f
Out Of The Blue - 2 Items Auto renew,4385218494522,4398463418426,f
Out Of The Blue - 3 Items,4385218953274,4398463516730,f
Out Of The Blue - 3 Items Auto renew,4385218953274,4398463516730,f
Out Of The Blue - 5 Items,4385220067386,4398463877178,f
Paradise Cove - 3 Items,4366058782778,4398463516730,f
Ready Set Go - 2 Items,4383945261114,4398463418426,f
Ready Set Go - 2 Items Auto renew,4383945261114,4398463418426,f
Ready Set Go - 3 Items,4385207582778,4398463516730,f
Ready Set Go - 5 Items,4385217249338,4398463877178,f
Second Skin - 2 Items,2525983866938,4398463418426,f
Second Skin - 2 Items  Auto renew,2525983866938,4398463418426,f
Second Skin - 3 Items,2525983998010,4398463516730,f
Second Skin - 3 Items  Auto renew,2525983998010,4398463516730,f
Second Skin - 5 Items,2525984456762,4398463877178,f
Supernova - 2 Items,4382368825402,4398463418426,f
Supernova - 2 Items Auto renew,4382368825402,4398463418426,f
Supernova - 3 Items,4382368890938,4398463516730,f
Supernova - 3 Items Auto renew,4382368890938,4398463516730,f
Supernova - 5 Items,4382369349690,4398463877178,f
Ultraviolet - 2 Items,2514832261178,4398463418426,f
Ultraviolet - 2 Items  Auto renew,2514832261178,4398463418426,f
Ultraviolet - 3 Items,2514833440826,4398463516730,f
Ultraviolet - 3 Items  Auto renew,2514833440826,4398463516730,f
Ultraviolet - 5 Items,2514833866810,4398463877178,f
