prod_id_key,prod_id_value,next_month_prod_id,prepaid
3 MONTHS,23729012754,2267625160762,t
power_moves3,69026938898,2267622539322,f
power_moves5,69026316306,2267625160762,f
go_time3,52386937778,2267622539322,f
go_time5,78480408594,2267625160762,f
power_moves3_auto,78541520914,2267622539322,f
power_moves5_auto,78657093650,2267625160762,f
go_time3_auto,91049066514,2267622539322,f
go_time5_auto1,91049230354,2267625160762,f
go_time5_auto2,91049197586,2267625160762,f
heart_soul_3item,91236466706,2267622539322,f
heart_soul_3item_auto,109303332882,2267622539322,f
heart_soul_5item,109301366802,2267625160762,f
heart_soul_5item_auto,109301366802,2267625160762,f
go_time_3item,52386037778,2267622539322,f
fit_fierce_5item,91235975186,2267625160762,f
modern_muse_5itemauto,91236368402,2267625160762,f
power_move_3_item,69026938898,2267622539322,f
fit_fierce_3item,91236171794,2267622539322,f
modern_muse_5item,91236368402,2267625160762,f
modern_muse_3item,91236466706,2267622539322,f
fit_fierce_3itemauto,91236171794,2267622539322,f
modern_muse_3itemauto,91236466706,2267622539322,f
La Vie En Rose - 3 Item,138427301906,2267622539322,f
La Vie En Rose - 3 Item  Auto renew,159581274130,2267622539322,f
La Vie En Rose - 5 Item,138427203602,2267625160762,f
La Vie En Rose - 5 Item  Auto renew,159580848146,2267625160762,f
Sweetest Thing - 3 Item,138427596818,2267622539322,f
Sweetest Thing - 3 Item  Auto renew,159587827730,2267622539322,f
Sweetest Thing - 5 Item,138427465746,2267625160762,f
Sweetest Thing - 5 Item  Auto renew,159586746386,2267625160762,f
Give Me AmorÃÂÃÂ - 3 Item,138427793426,2267622539322,f
Give Me Amore - 3 Item  Auto renew,159593693202,2267622539322,f
Give Me AmorÃÂÃÂ - 5 Item,138427695122,2267625160762,f
Give Me Amore - 5 Item  Auto renew,163444719634,2267625160762,f
Desert Sage - 3 Item,197985992722,2267622539322,f
Desert Sage - 3 Item Autorenew,210212388882,2267622539322,f
Desert Sage - 5 Item,197983830034,2267625160762,f
Desert Sage - 5 Item Autorenew,210212356114,2267625160762,f
Running Wild - 3 Item,197986877458,2267622539322,f
Running Wild - 3 item Autorenew,210212519954,2267622539322,f
Running Wild - 5 Item,197986385938,2267625160762,f
Running Wild - 5 Item Autorenew,210212454418,2267625160762,f
After Dark - 3 Item,197987074066,2267622539322,f
After Dark - 3 Item Autorenew,210212618258,2267622539322,f
After Dark -5 Item,197986910226,2267625160762,f
After Dark - 5 Item Autorenew,210212585490,2267625160762,f
Set the Pace 3 Item,175541518354,2267622539322,f
In The Zone - 3 Item,175540207634,2267622539322,f
In The Zone - 5 Item,175535685650,2267625160762,f
May Flowers - 3 Items,207131443218,2267622539322,f
May Flowers - 3 Items Auto renew,219709145106,2267622539322,f
May Flowers - 5 Items,207131279378,2267625160762,f
May Flowers - 5 Items Auto renew,219709276178,2267625160762,f
