count,product_title,shopify_product_id,
2309,Flower Bud - 3 Items,2.26763E+12,
23,Chill Mode - 3 Items  Auto renew,2.26763E+12,
1601,Chill Mode - 3 Items,2.26763E+12,
778,Wine & Roses - 3 Items,2.0765E+12,
451,Flower Bud - 5 Items,2.26764E+12,
6,Chill Mode - 5 Items  Auto renew,2.26763E+12,
1,Street Smarts 2 - 5 items,2.18853E+12,
11,Flower Bud - 5 Items  Auto renew,2.26764E+12,
7,Wine & Roses - 5 Items  Auto renew,2.07652E+12,
5,The Jet Set - 5 Items  Auto renew,2.26764E+12,
736,Steel the Show - 5 Items,2.26763E+12,
1,True Blue - 3 Items,2.22641E+12,
8,3 Months - 3 Items,2.20979E+12,
5,Morning Mantra - 5 Items  Auto renew,2.26764E+12,
1,THE ORIGINAL ELLIE WATER BOTTLE - ROSE GOLD  Auto renew,9596299218,
12,Morning Mantra - 3 Items  Auto renew,2.26764E+12,
8,Steel the Show - 5 Items  Auto renew,2.26763E+12,
5,3 Months - 5 Items,2.20979E+12,
28,Steel the Show - 3 Items  Auto renew,2.26762E+12,
2951,Steel the Show - 3 Items,2.26762E+12,
1,3 MONTHS,9175678162,
24,Chill Mode - 3 Items,2.26763E+12,
26,Wine & Roses - 3 Items  Auto renew,2.0765E+12,
60,3 MONTHS,23729012754,
1,Wrap Me Up - 5 Items,2.07648E+12,
400,Chill Mode - 5 Items,2.26763E+12,
185,The Jet Set - 5 Items,2.26764E+12,
1,Knot Your Average - 3 Items,2.22725E+12,
122,Wine & Roses - 5 Items,2.07652E+12,
32,The Jet Set - 3 Items  Auto renew,2.26764E+12,
655,Morning Mantra - 3 Items,2.26764E+12,
1012,The Jet Set - 3 Items,2.26764E+12,
155,Morning Mantra - 5 Items,2.26764E+12,
25,Chill Mode - 5 Items,2.22726E+12,
38,Flower Bud - 3 Items  Auto renew,2.26763E+12,
