prod_id_key,prod_id_value,next_month_prod_id,prepaid
Berry Crush - 2 Items,4366057209914,2525983866938,f
Berry Crush - 3 Items,4366057406522,2525983998010,f
Berry Crush - 3 Items  Auto renew,4366057406522,2525983998010,f
Berry Crush - 5 Items,4366057963578,2525984456762,f
Canyon Sunset - 2 Items,2525982425146,2525983866938,f
Canyon Sunset - 3 Items,2525982588986,2525983998010,f
Canyon Sunset - 3 Items  Auto renew,2525982588986,2525983998010,f
Canyon Sunset - 5 Items,2525983178810,2525984456762,f
City Limits - 2 Items,4366060453946,2525983866938,f
City Limits - 2 Items  Auto renew,4366060453946,2525983866938,f
City Limits - 3 Items,4366061174842,2525983998010,f
City Limits - 3 Items  Auto renew,4366061174842,2525983998010,f
City Limits - 5 Items,4366066024506,2525984456762,f
City Limits - 5 Items  Auto renew,4366066024506,2525984456762,f
Clean Slate - 2 Items,4373264597050,2525983866938,f
Clean Slate - 3 Items,4373264957498,2525983998010,f
Clean Slate - 3 Items Auto renew,4373264957498,2525983998010,f
Clean Slate - 5 Items,4373306998842,2525984456762,f
Crunch Time - 3 Items,4366079787066,2525983998010,f
Crunch Time - 3 Items  Auto renew,4366079787066,2525983998010,f
Crunch Time - 5 Items,4366080311354,2525984456762,f
Floral Bliss - 2 Items,4320724910138,2525983866938,f
Floral Bliss - 3 Items,4320725106746,2525983998010,f
Floral Bliss - 5 Items,4320726024250,2525984456762,f
Gear Up - 3 Items,4320731660346,2525983998010,f
Gear Up - 5 Items,4320732905530,2525984456762,f
Good Karma - 2 Items,4320736772154,2525983866938,f
Good Karma - 3 Items,4320757153850,2525983998010,f
Good Karma - 3 Items  Auto renew,4320757153850,2525983998010,f
Ivy League - 3 Items,4366077591610,2525983998010,f
Ivy League - 5 Items,4366079098938,2525984456762,f
Paradise Cove - 2 Items,4366058225722,2525983866938,f
Paradise Cove - 3 Items,4366058782778,2525983998010,f
Paradise Cove - 5 Items,4366059143226,2525984456762,f
Show Your Stripes - 2 Items,4320727367738,2525983866938,f
Show Your Stripes - 3 Items,4320729464890,2525983998010,f
Show Your Stripes - 5 Items,4320730775610,2525984456762,f
Ultraviolet - 2 Items,2514832261178,2525983866938,f
Ultraviolet - 3 Items,2514833440826,2525983998010,f
Ultraviolet - 5 Items,2514833866810,2525984456762,f
