prod_id_key,prod_id_value,next_month_prod_id,prepaid
Berry Crush - 2 Items,4366057209914,2525979639866,f
Berry Crush - 3 Items,4366057406522,2525980524602,f
Berry Crush - 3 Items  Auto renew,4366057406522,2525980524602,f
Berry Crush - 5 Items,4366057963578,2525981343802,f
Canyon Sunset - 2 Items,2525982425146,2525979639866,f
Canyon Sunset - 3 Items,2525982588986,2525980524602,f
Canyon Sunset - 5 Items,2525983178810,2525981343802,f
Canyon Sunset - 5 Items  Auto renew,2525983178810,2525981343802,f
City Limits - 2 Items,4366060453946,2525979639866,f
City Limits - 2 Items  Auto renew,4366060453946,2525979639866,f
City Limits - 3 Items,4366061174842,2525980524602,f
City Limits - 5 Items,4366066024506,2525981343802,f
Clean Slate - 2 Items,4373264597050,2525979639866,f
Clean Slate - 3 Items,4373264957498,2525980524602,f
Clean Slate - 3 Items Auto renew,4373264957498,2525980524602,f
Clean Slate - 5 Items,4373306998842,2525981343802,f
Clean Slate - 5 Items Auto renew,4373306998842,2525981343802,f
Comfort Zone - 5 Items,4320734904378,2525981343802,f
Crunch Time - 2 Items,4366079459386,2525979639866,f
Crunch Time - 3 Items,4366079787066,2525980524602,f
Crunch Time - 5 Items,4366080311354,2525981343802,f
English Fog - 3 Items,2514830491706,2525980524602,f
English Fog - The October Collection (2019),2514830491706,2525980524602,f
Floral Bliss - 2 Items,4320724910138,2525979639866,f
Floral Bliss - 3 Items,4320725106746,2525980524602,f
Floral Bliss - 5 Items,4320726024250,2525981343802,f
Gear Up - 2 Items,4320731365434,2525979639866,f
Gear Up - 2 Items  Auto renew,4320731365434,2525979639866,f
Gear Up - 3 Items,4320731660346,2525980524602,f
Gear Up - 5 Items,4320732905530,2525981343802,f
Good Karma - 2 Items,4320736772154,2525979639866,f
Good Karma - 3 Items,4320757153850,2525980524602,f
Ivy League - 2 Items,4366077132858,2525979639866,f
Ivy League - 3 Items,4366077591610,2525980524602,f
Ivy League - 5 Items,4366079098938,2525981343802,f
Paradise Cove - 2 Items,4366058225722,2525979639866,f
Paradise Cove - 3 Items,4366058782778,2525980524602,f
Paradise Cove - 5 Items,4366059143226,2525981343802,f
Show Your Stripes - 2 Items,4320727367738,2525979639866,f
Show Your Stripes - 2 Items  Auto renew,4320727367738,2525979639866,f
Show Your Stripes - 3 Items,4320729464890,2525980524602,f
Show Your Stripes - 3 Items  Auto renew,4320729464890,2525980524602,f
Show Your Stripes - 5 Items,4320730775610,2525981343802,f
Ultraviolet - 2 Items,2514832261178,2525979639866,f
Ultraviolet - 3 Items,2514833440826,2525980524602,f
Ultraviolet - 3 Items  Auto renew,2514833440826,2525980524602,f
Ultraviolet - 5 Items,2514833866810,2525981343802,f
Ultraviolet - 5 Items  Auto renew,2514833866810,2525981343802,f
Velvet Crush - The November Collection (2019),2525970530362,2525980524602,f
