prod_id_key,prod_id_value,next_month_prod_id,prepaid
Berry Crush - 3 Items,4366057406522,4382371840058,f
Berry Crush - 5 Items,4366057963578,4382372233274,f
Canyon Sunset - 3 Items,2525982588986,4382371840058,f
City Limits - 3 Items,4366061174842,4382371840058,f
City Limits - 3 Items  Auto renew,4366061174842,4382371840058,f
City Limits - 5 Items,4366066024506,4382372233274,f
Clean Slate - 3 Items,4373264957498,4382371840058,f
Clean Slate - 5 Items,4373306998842,4382372233274,f
Crunch Time - 3 Items,4366079787066,4382371840058,f
Crunch Time - 5 Items,4366080311354,4382372233274,f
Floral Bliss - 3 Items,4320725106746,4382371840058,f
Gear Up - 3 Items,4320731660346,4382371840058,f
Good Karma - 3 Items,4320757153850,4382371840058,f
Ivy League - 3 Items,4366077591610,4382371840058,f
Ivy League - 5 Items,4366079098938,4382372233274,f
Paradise Cove - 3 Items,4366058782778,4382371840058,f
Paradise Cove - 5 Items,4366059143226,4382372233274,f
Show Your Stripes - 3 Items,4320729464890,4382371840058,f
Show Your Stripes - 5 Items,4320730775610,4382372233274,f
Ultraviolet - 3 Items,2514833440826,4382371840058,f
