count,product_title,shopify_product_id,
19,3 MONTHS,23729012754,
919,Chill Mode - 3 Items,2267626373178,
9,Chill Mode - 3 Items  Auto renew,2267626373178,
232,Chill Mode - 5 Items,2267630239802,
8,Chill Mode - 5 Items  Auto renew,2267630239802,
1,Fierce & Floral - 3 Items,2227262881850,
1230,Flower Bud - 3 Items,2267632697402,
19,Flower Bud - 3 Items  Auto renew,2267632697402,
222,Flower Bud - 5 Items,2267637678138,
8,Flower Bud - 5 Items  Auto renew,2267637678138,
1,Knot Your Average - 3 Items,2227252559930,
28,Knot Your Average - 5 Items,2227246661690,
412,Morning Mantra - 3 Items,2267641151546,
6,Morning Mantra - 3 Items  Auto renew,2267641151546,
86,Morning Mantra - 5 Items,2267641872442,
2,Morning Mantra - 5 Items  Auto renew,2267641872442,
2,Peace & Pastels - 3 Items,2226413174842,
1699,Steel the Show - 3 Items,2267622539322,
9,Steel the Show - 3 Items  Auto renew,2267622539322,
397,Steel the Show - 5 Items,2267625160762,
4,Steel the Show - 5 Items  Auto renew,2267625160762,
2,Street Dreams - 3 Items,1918042636346,
4,Street Smarts - 3 Items,2188530778170,
717,The Jet Set - 3 Items,2267638857786,
17,The Jet Set - 3 Items  Auto renew,2267638857786,
118,The Jet Set - 5 Items,2267639349306,
3,The Jet Set - 5 Items  Auto renew,2267639349306,
1,THE ORIGINAL ELLIE WATER BOTTLE - ROSE GOLD  Auto renew,9596299218,
379,Wine & Roses - 3 Items,2076495052858,
11,Wine & Roses - 3 Items  Auto renew,2076495052858,
67,Wine & Roses - 5 Items,2076520939578,
3,Wine & Roses - 5 Items  Auto renew,2076520939578,
