prod_id_key,prod_id_value,next_month_prod_id,prepaid
3 MONTHS,23729012754,2226391941178,t
power_moves3,69026938898,2227262881850,f
power_moves5,69026316306,2227259342906,f
go_time3,52386937778,2227262881850,f
go_time5,78480408594,2227259342906,f
power_moves3_auto,78541520914,2227262881850,f
power_moves5_auto,78657093650,2227259342906,f
go_time3_auto,91049066514,2227262881850,f
go_time5_auto1,91049230354,2227259342906,f
go_time5_auto2,91049197586,2227259342906,f
heart_soul_3item,91236466706,2227262881850,f
heart_soul_3item_auto,109303332882,2227262881850,f
heart_soul_5item,109301366802,2227259342906,f
heart_soul_5item_auto,109301366802,2227259342906,f
go_time_3item,52386037778,2227262881850,f
fit_fierce_5item,91235975186,2227259342906,f
modern_muse_5itemauto,91236368402,2227259342906,f
power_move_3_item,69026938898,2227262881850,f
fit_fierce_3item,91236171794,2227262881850,f
modern_muse_5item,91236368402,2227259342906,f
modern_muse_3item,91236466706,2227262881850,f
fit_fierce_3itemauto,91236171794,2227262881850,f
modern_muse_3itemauto,91236466706,2227262881850,f
La Vie En Rose - 3 Item,138427301906,2227262881850,f
La Vie En Rose - 3 Item  Auto renew,159581274130,2227262881850,f
La Vie En Rose - 5 Item,138427203602,2227259342906,f
La Vie En Rose - 5 Item  Auto renew,159580848146,2227259342906,f
Sweetest Thing - 3 Item,138427596818,2227262881850,f
Sweetest Thing - 3 Item  Auto renew,159587827730,2227262881850,f
Sweetest Thing - 5 Item,138427465746,2227259342906,f
Sweetest Thing - 5 Item  Auto renew,159586746386,2227259342906,f
Give Me AmorÃÂÃÂ - 3 Item,138427793426,2227262881850,f
Give Me Amore - 3 Item  Auto renew,159593693202,2227262881850,f
Give Me AmorÃÂÃÂ - 5 Item,138427695122,2227259342906,f
Give Me Amore - 5 Item  Auto renew,163444719634,2227259342906,f
Desert Sage - 3 Item,197985992722,2227262881850,f
Desert Sage - 3 Item Autorenew,210212388882,2227262881850,f
Desert Sage - 5 Item,197983830034,2227259342906,f
Desert Sage - 5 Item Autorenew,210212356114,2227259342906,f
Running Wild - 3 Item,197986877458,2227262881850,f
Running Wild - 3 item Autorenew,210212519954,2227262881850,f
Running Wild - 5 Item,197986385938,2227259342906,f
Running Wild - 5 Item Autorenew,210212454418,2227259342906,f
After Dark - 3 Item,197987074066,2227262881850,f
After Dark - 3 Item Autorenew,210212618258,2227262881850,f
After Dark -5 Item,197986910226,2227259342906,f
After Dark - 5 Item Autorenew,210212585490,2227259342906,f
Set the Pace 3 Item,175541518354,2227262881850,f
In The Zone - 3 Item,175540207634,2227262881850,f
In The Zone - 5 Item,175535685650,2227259342906,f
May Flowers - 3 Items,207131443218,2227262881850,f
May Flowers - 3 Items Auto renew,219709145106,2227262881850,f
May Flowers - 5 Items,207131279378,2227259342906,f
May Flowers - 5 Items Auto renew,219709276178,2227259342906,f
