prod_id_key,prod_id_value,next_month_prod_id,prepaid
Prism Perfect - 5 Items,2339797532730,2457951633466,f
Good Intentions - 3 Items,2405031280698,2457951502394,f
Starstruck - 3 ITEMS,2294131458106,2457951502394,f
Off The Track - 3 Items,2405032362042,2457951502394,f
Prism Perfect - 3 Items,2339796320314,2457951502394,f
3 Months - 3 Items  Auto renew,2209786298426,2457951502394,t
Brooklyn - 5 Items,2339790127162,2457951633466,f
Flower Bud - 5 Items,2267637678138,2457951633466,f
Off The Track - 5 Items,2405032820794,2457951633466,f
Good Intentions - 3 Items  Auto renew,2405031280698,2457951502394,f
Dream Chaser - 3 Items,2405033902138,2457951502394,f
Ready To Run - 3 Items  Auto renew,2387469467706,2457951502394,f
Prism Perfect - 3 Items  Auto renew,2339796320314,2457951502394,f
Ready To Run - 5 Items  Auto renew,2372788551738,2457951633466,f
3 MONTHS,9175678162,2457951633466,t
Rise Up - 5 Items,2372785438778,2457951633466,f
Basic Training - 3 Items,2340063969338,2457951502394,f
Good Intentions - 5 Items,2405031477306,2457951633466,f
Dream Chaser - 5 Items  Auto renew,2405034393658,2457951633466,f
Catch Up - 5 Items,2405033607226,2457951633466,f
Brooklyn - 3 Items  Auto renew,2339789013050,2457951502394,f
Brooklyn - 3 Items,2339789013050,2457951502394,f
Catch Up - 3 Items  Auto renew,2405033246778,2457951502394,f
Dream Chaser - 5 Items,2405034393658,2457951633466,f
Ready To Run - 5 Items,2372788551738,2457951633466,f
Steel the Show - 3 Items,2267622539322,2457951502394,f
Catch Up - 3 Items,2405033246778,2457951502394,f
3 MONTHS,23729012754,2457951633466,t
Monthly Box,8204555081,2457951633466,t
Ready To Run - 3 Items,2387469467706,2457951502394,f
Flower Bud - 3 Items,2267632697402,2457951502394,f
To the Limit - 5 ITEMS,2294135029818,2457951633466,f
Victory Lap - 3 Items,2372782751802,2457951502394,f
Steel the Show - 5 Items,2267625160762,2457951633466,f
3 Months - 3 Items (ships every 1 Months),2209786298426,2457951502394,t
3 Months - 3 Items,2209786298426,2457951502394,t
Brooklyn - 5 Items  Auto renew,2339790127162,2457951633466,f
3 Months - 5 Items,2209789771834,2457951633466,t
Catch Up - 3 Items,2405033246778,2457951502394,f
