count,product_title,shopify_product_id
53,Back To Basics - 2 Items,4408141545530
1,Back To Basics - 2 Items Auto renew,4408141545530
539,Back To Basics - 3 Items,4408141643834
3,Back To Basics - 3 Items Auto renew,4408141643834
4,Back To Basics - 5 Items,4408142102586
1,Bayside Breeze - 3 Items,4382371840058
3,Blue Skies - 2 Items,4398406959162
122,Blue Skies - 3 Items,4398408073274
1,Blue Skies - 3 Items Auto renew,4398408073274
1,Blue Skies - 5 Items,4398409089082
1,Boss Babe - 5 Items,2525981343802
1,Calypso - 2 Items,4429044121658
4,Calypso - 3 Items,4429051559994
1,Canyon Sunset - 3 Items,2525982588986
1,Citrus Kick - 2 Items,4428799148090
3,Citrus Kick - 3 Items,4428800327738
3,City Limits - 3 Items,4366061174842
1,Clean Slate - 3 Items,4373264957498
23,Cloud Nine - 2 Items,4466295210042
477,Cloud Nine - 3 Items,4466295406650
18,Cloud Nine - 5 Items,4466296094778
80,Coastal Cool - 2 Items,4465961861178
807,Coastal Cool - 3 Items,4465962647610
9,Coastal Cool - 3 Items Auto renew,4465962647610
25,Coastal Cool - 5 Items,4465964286010
5,Cupids Kiss - 2 Items,4382377443386
61,Cupids Kiss - 3 Items,4382378229818
2,Cupids Kiss - 5 Items,4382378360890
1,Desert Bloom - 3 Items,2372780752954
9,Dream On - 2 Items,4408153636922
109,Dream On - 3 Items,4408153833530
1,Dream On - 3 Items Auto renew,4408153833530
1,Ellie Packable Backpack (Black) (ships every 1 Months) (Ships every 1 Months),4388515971130
210,Ellie Picks - 2 Items,4399742615610
2999,Ellie Picks - 3 Items,4399742746682
5,Ellie Picks - 3 Items Auto renew,4399742746682
102,Ellie Picks - 5 Items,4399742910522
16,Emerald Tide - 2 Items,4466306121786
1,Emerald Tide - 2 Items Auto renew,4466306121786
379,Emerald Tide - 3 Items,4466306613306
5,Emerald Tide - 3 Items Auto renew,4466306613306
5,Emerald Tide - 5 Items,4466306973754
42,Fresh Tone - 2 Items,4465955569722
892,Fresh Tone - 3 Items,4465956257850
9,Fresh Tone - 3 Items Auto renew,4465956257850
23,Fresh Tone - 5 Items,4465957109818
1,Fresh Tone - 5 Items Auto renew,4465957109818
1,Gear Up - 3 Items,4320731660346
1,Golden Girl - 2 Items Auto renew,4438599565370
5,Golden Girl - 3 Items,4438600876090
1,Good Karma - 3 Items,4320757153850
1,High Tide - 3 Items,2457949667386
29,Making Moves - 2 Items,4398463418426
1,Making Moves - 2 Items Auto renew,4398463418426
495,Making Moves - 3 Items,4398463516730
13,Making Moves - 5 Items,4398463877178
1,Matcha Cha Cha - 3 Items,4408142463034
63,Mineral Love - 2 Items,4465957797946
2,Mineral Love - 2 Items Auto renew,4465957797946
1237,Mineral Love - 3 Items,4465958387770
11,Mineral Love - 3 Items Auto renew,4465958387770
30,Mineral Love - 5 Items,4465961369658
2,Mineral Love - 5 Items Auto renew,4465961369658
2,Natural Fit - 3 Items,4428899516474
28,Off The Grid - 2 Items,4465968578618
3,Off The Grid - 2 Items Auto renew,4465968578618
906,Off The Grid - 3 Items,4465970839610
10,Off The Grid - 3 Items Auto renew,4465970839610
23,Off The Grid - 5 Items,4465974837306
1,Off The Grid - 5 Items Auto renew,4465974837306
1,Pacific Mist - 2 Items,4427335696442
5,Pacific Mist - 3 Items,4427336384570
18,Papaya Summer - 2 Items,4466290032698
1,Papaya Summer - 2 Items Auto renew,4466290032698
346,Papaya Summer - 3 Items,4466290720826
8,Papaya Summer - 3 Items Auto renew,4466290720826
5,Papaya Summer - 5 Items,4466293407802
7,Paradise Cove - 2 Items,4366058225722
139,Paradise Cove - 3 Items,4366058782778
1,Paradise Cove - 3 Items,4366058913850
1,Paradise Cove - 5 Items,4366059143226
24,Peachy Keen - 2 Items,4466303500346
3,Peachy Keen - 2 Items Auto renew,4466303500346
497,Peachy Keen - 3 Items,4466303762490
7,Peachy Keen - 3 Items Auto renew,4466303762490
3,Peachy Keen - 5 Items,4466305335354
1,Peachy Keen - 5 Items Auto renew,4466305335354
20,Roll The Dye - 2 Items,4466297176122
433,Roll The Dye - 3 Items,4466297929786
6,Roll The Dye - 3 Items Auto renew,4466297929786
24,Roll The Dye - 5 Items,4466299371578
18,Show Your Stripes - 2 Items,4320727367738
276,Show Your Stripes - 3 Items,4320729464890
2,Show Your Stripes - 5 Items,4320730775610
1,Sparkling Onyx - 3 Items,2514843762746
9,Spring Into Action - 3 Items,4438604349498
2,Tie Game - 3 Items,4429126860858
2,Under The Radar - 3 Items,4398464565306
1,Velvet Crush - 3 Items,2525970530362
25,Wind Breaker - 2 Items,4466299830330
694,Wind Breaker - 3 Items,4466300452922
4,Wind Breaker - 3 Items Auto renew,4466300452922
26,Wind Breaker - 5 Items,4466302419002
