prod_id_key,prod_id_value,next_month_prod_id,prepaid
Cloud Nine - 3 Items,4466295406650,4399742746682,f
Cloud Nine - 5 Items,4466296094778,4399742910522,f
Coastal Cool - 5 Items,4465964286010,4399742910522,f
Ellie Picks - 3 Items,4399742746682,4399742746682,f
Emerald Tide - 3 Items,4466306613306,4399742746682,f
Emerald Tide - 5 Items,4466306973754,4399742910522,f
Fresh Tone - 3 Items,4465956257850,4399742746682,f
Fresh Tone - 5 Items,4465957109818,4399742910522,f
Mineral Love - 3 Items,4465958387770,4399742746682,f
Mineral Love - 5 Items Auto renew,4465961369658,4399742910522,f
Peachy Keen - 5 Items,4466305335354,4399742910522,f
Roll The Dye - 5 Items,4466299371578,4399742910522,f
Wind Breaker - 5 Items,4466302419002,4399742910522,f
