prod_id_key,prod_id_value,next_month_prod_id,prepaid
Back To Basics - 2 Items,4408141545530,4399742615610,f
Back To Basics - 2 Items Auto renew,4408141545530,4399742615610,f
Back To Basics - 3 Items,4408141643834,4399742746682,f
Back To Basics - 3 Items Auto renew,4408141643834,4399742746682,f
Back To Basics - 5 Items,4408142102586,4399742910522,f
Bayside Breeze - 3 Items,4382371840058,4399742746682,f
Blue Skies - 2 Items,4398406959162,4399742615610,f
Blue Skies - 3 Items,4398408073274,4399742746682,f
Blue Skies - 3 Items Auto renew,4398408073274,4399742746682,f
Blue Skies - 5 Items,4398409089082,4399742910522,f
Boss Babe - 5 Items,2525981343802,4399742910522,f
Calypso - 2 Items,4429044121658,4399742615610,f
Calypso - 3 Items,4429051559994,4399742746682,f
Canyon Sunset - 3 Items,2525982588986,4399742746682,f
Citrus Kick - 2 Items,4428799148090,4399742615610,f
Citrus Kick - 3 Items,4428800327738,4399742746682,f
City Limits - 3 Items,4366061174842,4399742746682,f
Clean Slate - 3 Items,4373264957498,4399742746682,f
Cloud Nine - 2 Items,4466295210042,4399742615610,f
Cloud Nine - 3 Items,4466295406650,4399742746682,f
Cloud Nine - 5 Items,4466296094778,4399742910522,f
Coastal Cool - 2 Items,4465961861178,4399742615610,f
Coastal Cool - 3 Items,4465962647610,4399742746682,f
Coastal Cool - 3 Items Auto renew,4465962647610,4399742746682,f
Coastal Cool - 5 Items,4465964286010,4399742910522,f
Cupids Kiss - 2 Items,4382377443386,4399742615610,f
Cupids Kiss - 3 Items,4382378229818,4399742746682,f
Cupids Kiss - 5 Items,4382378360890,4399742910522,f
Desert Bloom - 3 Items,2372780752954,4399742746682,f
Dream On - 2 Items,4408153636922,4399742615610,f
Dream On - 3 Items,4408153833530,4399742746682,f
Dream On - 3 Items Auto renew,4408153833530,4399742746682,f
Ellie Picks - 2 Items,4399742615610,4399742615610,f
Ellie Picks - 3 Items,4399742746682,4399742746682,f
Ellie Picks - 3 Items Auto renew,4399742746682,4399742746682,f
Ellie Picks - 5 Items,4399742910522,4399742910522,f
Emerald Tide - 2 Items,4466306121786,4399742615610,f
Emerald Tide - 2 Items Auto renew,4466306121786,4399742615610,f
Emerald Tide - 3 Items,4466306613306,4399742746682,f
Emerald Tide - 3 Items Auto renew,4466306613306,4399742746682,f
Emerald Tide - 5 Items,4466306973754,4399742910522,f
Fresh Tone - 2 Items,4465955569722,4399742615610,f
Fresh Tone - 3 Items,4465956257850,4399742746682,f
Fresh Tone - 3 Items Auto renew,4465956257850,4399742746682,f
Fresh Tone - 5 Items,4465957109818,4399742910522,f
Fresh Tone - 5 Items Auto renew,4465957109818,4399742910522,f
Gear Up - 3 Items,4320731660346,4399742746682,f
