prod_id_key,prod_id_value,next_month_prod_id,prepaid
Back To Basics - 3 Items,4408141643834,4399742746682,f
Cloud Nine - 3 Items,4466295406650,4399742746682,f
Coastal Cool - 3 Items,4465962647610,4399742746682,f
Coastal Cool - 5 Items,4465964286010,4399742910522,f
Dream On - 3 Items,4408153833530,4399742746682,f
Emerald Tide - 3 Items,4466306613306,4399742746682,f
Fresh Tone - 2 Items,4465955569722,4399742615610,f
Fresh Tone - 3 Items,4465956257850,4399742746682,f
Fresh Tone - 5 Items,4465957109818,4399742910522,f
Mineral Love - 2 Items,4465957797946,4399742615610,f
Mineral Love - 3 Items,4465958387770,4399742746682,f
Mineral Love - 5 Items,4465961369658,4399742910522,f
Roll The Dye - 2 Items,4466297176122,4399742615610,f
Roll The Dye - 3 Items,4466297929786,4399742746682,f
Roll The Dye - 5 Items,4466299371578,4399742910522,f
Wind Breaker - 2 Items,4466299830330,4399742615610,f
Wind Breaker - 3 Items,4466300452922,4399742746682,f
