count,product_title,shopify_product_id,
10,Prism Perfect - 5 Items,2339797532730,
787,Good Intentions - 3 Items,2405031280698,
2,Starstruck - 3 ITEMS,2294131458106,
267,Off The Track - 3 Items,2405032362042,
38,Prism Perfect - 3 Items,2339796320314,
1,3 Months - 3 Items  Auto renew,2209786298426,
17,Brooklyn - 5 Items,2339790127162,
1,Flower Bud - 5 Items,2267637678138,
93,Off The Track - 5 Items,2405032820794,
11,Good Intentions - 3 Items  Auto renew,2405031280698,
661,Dream Chaser - 3 Items,2405033902138,
1,Ready To Run - 3 Items  Auto renew,2387469467706,
1,Prism Perfect - 3 Items  Auto renew,2339796320314,
1,Ready To Run - 5 Items  Auto renew,2372788551738,
1,3 MONTHS,9175678162,
1,Rise Up - 5 Items,2372785438778,
1,Basic Training - 3 Items,2340063969338,
269,Good Intentions - 5 Items,2405031477306,
5,Dream Chaser - 5 Items  Auto renew,2405034393658,
75,Catch Up - 5 Items,2405033607226,
1,Brooklyn - 3 Items  Auto renew,2339789013050,
87,Brooklyn - 3 Items,2339789013050,
1,Catch Up - 3 Items  Auto renew,2405033246778,
183,Dream Chaser - 5 Items,2405034393658,
35,Ready To Run - 5 Items,2372788551738,
3,Steel the Show - 3 Items,2267622539322,
184,Catch Up - 3 Items,2405033246778,
46,3 MONTHS,23729012754,
2,Monthly Box,8204555081,
119,Ready To Run - 3 Items,2387469467706,
1,Flower Bud - 3 Items,2267632697402,
1,To the Limit - 5 ITEMS,2294135029818,
1,Victory Lap - 3 Items,2372782751802,
3,Steel the Show - 5 Items,2267625160762,
1,3 Months - 3 Items (ships every 1 Months),2209786298426,
457,3 Months - 3 Items,2209786298426,
2,Brooklyn - 5 Items  Auto renew,2339790127162,
63,3 Months - 5 Items,2209789771834,
,,,
3433,,,
