prod_id_key,prod_id_value,next_month_prod_id,prepaid
3 MONTHS,23729012754,2405031477306,t
3 Months - 3 Items,2209786298426,2405031280698,t
3 Months - 5 Items,2209789771834,2405031477306,t
3 Months - 5 Items  Auto renew,2209789771834,2405031477306,t
Basic Training - 3 Items,2340063969338,2405031280698,f
Basic Training - 5 Items,2340064526394,2405031477306,f
Brooklyn - 3 Items,2339789013050,2405031280698,f
Brooklyn - 3 Items  Auto renew,2339789013050,2405031280698,f
Brooklyn - 5 Items,2339790127162,2405031477306,f
Desert Bloom - 3 Items,2372780752954,2405031280698,f
Desert Bloom - 5 Items,2372780916794,2405031477306,f
First Impression - 3 ITEMS,2294128738362,2405031280698,f
First Impression - 5 ITEMS,2294130999354,2405031477306,f
Mauve Muse - 3 ITEMS,2294123954234,2405031280698,f
Mauve Muse - 5 ITEMS,2294127558714,2405031477306,f
Mauve Muse - 5 ITEMS  Auto renew,2294127558714,2405031477306,f
Prism Perfect - 5 Items,2339797532730,2405031477306,f
Rise Up - 3 Items,2372785340474,2405031280698,f
Rise Up - 3 Items  Auto renew,2372785340474,2405031280698,f
Rise Up - 5 Items,2372785438778,2405031477306,f
Rose Quartz - 3 Items,2372786290746,2405031280698,f
Rose Quartz - 3 Items  Auto renew,2372786290746,2405031280698,f
Rose Quartz - 5 Items,2372787535930,2405031477306,f
Rule Breaker - 3 Items,2340061052986,2405031280698,f
Rule Breaker - 5 Items,2340061577274,2405031477306,f
Starstruck - 3 ITEMS,2294131458106,2405031280698,f
Steel the Show - 3 Items,2267622539322,2405031280698,f
Victory Lap - 3 Items,2372782751802,2405031280698,f
Victory Lap - 5 Items,2372783145018,2405031477306,f
Victory Lap - 5 Items  Auto renew,2372783145018,2405031477306,f
