prod_id_key,prod_id_value,next_month_prod_id,prepaid
3 MONTHS,23729012754,4465957109818,t
3 Months - 3 Items,2209786298426,4465956257850,t
3 Months - 3 Items  Auto renew,2209786298426,4465956257850,t
3 Months - 5 Items,2209789771834,4465957109818,t
Back To Basics - 2 Items,4408141545530,4465955569722,f
Berry Crush - 3 Items,4366057406522,4465956257850,f
Berry Crush - 5 Items,4366057963578,4465957109818,f
Blue Skies - 3 Items,4398408073274,4465956257850,f
Calypso - 3 Items,4429051559994,4465956257850,f
Calypso - 5 Items,4429052051514,4465957109818,f
Citrus Kick - 2 Items,4428799148090,4465955569722,f
Citrus Kick - 3 Items,4428800327738,4465956257850,f
City Limits - 3 Items,4366061174842,4465956257850,f
City Limits - 3 Items (Ships every 1 Months) (ships every 1 month) (Ships every 1 month),4366061174842,4465956257850,f
Ellie Picks - 5 Items,4399742910522,4465957109818,f
Golden Girl - 3 Items,4438600876090,4465956257850,f
Making Moves - 3 Items,4398463516730,4465956257850,f
Matcha Cha Cha - 3 Items,4408142463034,4465956257850,f
Matcha Cha Cha - 5 Items,4408153047098,4465957109818,f
Natural Fit - 3 Items,4428899516474,4465956257850,f
Natural Fit - 5 Items,4428900532282,4465957109818,f
Pacific Mist - 3 Items,4427336384570,4465956257850,f
Pacific Mist - 5 Items,4427336777786,4465957109818,f
Paradise Cove - 2 Items,4366058225722,4465955569722,f
Paradise Cove - 3 Items,4366058782778,4465956257850,f
Paradise Cove - 3 Items,4366058913850,4465956257850,f
Pinky Swear - 2 Items,4429078659130,4465955569722,f
Pinky Swear - 3 Items,4429079576634,4465956257850,f
Pinky Swear - 5 Items,4429080035386,4465957109818,f
Show Your Stripes - 5 Items,4320730775610,4465957109818,f
Spring Into Action - 3 Items,4438604349498,4465956257850,f
Spring Into Action - 5 Items,4438605267002,4465957109818,f
Tie Game - 3 Items,4429126860858,4465956257850,f
Tie Game - 5 Items,4429130137658,4465957109818,f
