prod_id_key,prod_id_value,next_month_prod_id,prepaid
3 Months - 2 Items,2506238492730,4399742615610,t
3 Months - 3 Items,2209786298426,4399742746682,t
3 Months - 5 Items,2209789771834,4399742910522,t
Off The Grid - 2 Items,4465968578618,4399742615610,f
Off The Grid - 2 Items Auto renew,4465968578618,4399742615610,f
Off The Grid - 3 Items,4465970839610,4399742746682,f
Off The Grid - 3 Items Auto renew,4465970839610,4399742746682,f
Off The Grid - 5 Items,4465974837306,4399742910522,f
Roll The Dye - 2 Items,4466297176122,4399742615610,f
Roll The Dye - 3 Items,4466297929786,4399742746682,f
Roll The Dye - 3 Items Auto renew,4466297929786,4399742746682,f
Roll The Dye - 5 Items,4466299371578,4399742910522,f
