prod_id_key,prod_id_value,next_month_prod_id,prepaid
Bahama Babe - 2 Items,4399644442682,4399742615610,f
Bahama Babe - 3 Items,4399644639290,4399742746682,f
Bahama Babe - 5 Items,4399644934202,4399742910522,f
Beach Bash - 5 Items,2457951633466,4399742910522,f
Berry Crush - 2 Items,4366057209914,4399742615610,f
Berry Crush - 3 Items,4366057406522,4399742746682,f
Berry Crush - 5 Items,4366057963578,4399742910522,f
Blue Skies - 2 Items,4398406959162,4399742615610,f
Blue Skies - 3 Items,4398408073274,4399742746682,f
Blue Skies - 5 Items,4398409089082,4399742910522,f
Calypso - 2 Items,4429044121658,4399742615610,f
Calypso - 3 Items,4429051559994,4399742746682,f
Calypso - 5 Items,4429052051514,4399742910522,f
Citrus Kick - 2 Items,4428799148090,4399742615610,f
Citrus Kick - 3 Items,4428800327738,4399742746682,f
Citrus Kick - 5 Items,4428803113018,4399742910522,f
City Limits - 2 Items,4366060453946,4399742615610,f
City Limits - 3 Items,4366061174842,4399742746682,f
Cupids Kiss - 2 Items,4382377443386,4399742615610,f
Dream On - 3 Items,4408153833530,4399742746682,f
Golden Girl - 2 Items,4438599565370,4399742615610,f
Golden Girl - 3 Items,4438600876090,4399742746682,f
Golden Girl - 3 Items Auto renew,4438600876090,4399742746682,f
Kaleidoscope - 2 Items,4408154587194,4399742615610,f
Kaleidoscope - 3 Items,4408154718266,4399742746682,f
Matcha Cha Cha - 2 Items,4408142331962,4399742615610,f
Matcha Cha Cha - 3 Items,4408142463034,4399742746682,f
Matcha Cha Cha - 3 Items Auto renew,4408142463034,4399742746682,f
Matcha Cha Cha - 5 Items,4408153047098,4399742910522,f
Matcha Cha Cha - 5 Items Auto renew,4408153047098,4399742910522,f
Natural Fit - 2 Items,4428897943610,4399742615610,f
Natural Fit - 3 Items,4428899516474,4399742746682,f
Natural Fit - 3 Items Auto renew,4428899516474,4399742746682,f
Natural Fit - 5 Items,4428900532282,4399742910522,f
Pacific Mist - 2 Items,4427335696442,4399742615610,f
Pacific Mist - 3 Items,4427336384570,4399742746682,f
Pacific Mist - 5 Items,4427336777786,4399742910522,f
Pinky Swear - 2 Items,4429078659130,4399742615610,f
Pinky Swear - 3 Items,4429079576634,4399742746682,f
Pinky Swear - 5 Items,4429080035386,4399742910522,f
Spring Into Action - 3 Items,4438604349498,4399742746682,f
Tie Game - 2 Items,4429126041658,4399742615610,f
Tie Game - 3 Items,4429126860858,4399742746682,f
Tie Game - 5 Items,4429130137658,4399742910522,f
Tie Game - 5 Items Auto renew,4429130137658,4399742910522,f
Under The Radar - 2 Items Auto renew,4398464499770,4399742615610,f
