prod_id_key,prod_id_value,next_month_prod_id,prepaid
power_moves3,69026938898,1446651330618,f
power_moves5,69026316306,1446647234618,f
go_time3,52386937778,1446651330618,f
go_time5,78480408594,1446647234618,f
power_moves3_auto,78541520914,1446651330618,f
power_moves5_auto,78657093650,1446647234618,f
go_time3_auto,91049066514,1446651330618,f
go_time5_auto1,91049230354,1446647234618,f
go_time5_auto2,91049197586,1446647234618,f
heart_soul_3item,91236466706,1446651330618,f
heart_soul_3item_auto,109303332882,1446651330618,f
heart_soul_5item,109301366802,1446647234618,f
heart_soul_5item_auto,109301366802,1446647234618,f
go_time_3item,52386037778,1446651330618,f
fit_fierce_5item,91235975186,1446647234618,f
modern_muse_5itemauto,91236368402,1446647234618,f
power_move_3_item,69026938898,1446651330618,f
fit_fierce_3item,91236171794,1446651330618,f
modern_muse_5item,91236368402,1446647234618,f
modern_muse_3item,91236466706,1446651330618,f
fit_fierce_3itemauto,91236171794,1446651330618,f
modern_muse_3itemauto,91236466706,1446651330618,f
La Vie En Rose - 3 Item,138427301906,1446651330618,f
La Vie En Rose - 3 Item  Auto renew,159581274130,1446651330618,f
La Vie En Rose - 5 Item,138427203602,1446647234618,f
La Vie En Rose - 5 Item  Auto renew,159580848146,1446647234618,f
Sweetest Thing - 3 Item,138427596818,1446651330618,f
Sweetest Thing - 3 Item  Auto renew,159587827730,1446651330618,f
Sweetest Thing - 5 Item,138427465746,1446647234618,f
Sweetest Thing - 5 Item  Auto renew,159586746386,1446647234618,f
Give Me Amor - 3 Item,138427793426,1446651330618,f
Give Me Amore - 3 Item  Auto renew,159593693202,1446651330618,f
Give Me Amor - 5 Item,138427695122,1446647234618,f
Give Me Amore - 5 Item  Auto renew,163444719634,1446647234618,f
Desert Sage - 3 Item,197985992722,1446651330618,f
Desert Sage - 3 Item Autorenew,210212388882,1446651330618,f
Desert Sage - 5 Item,197983830034,1446647234618,f
Desert Sage - 5 Item Autorenew,210212356114,1446647234618,f
Running Wild - 3 Item,197986877458,1446651330618,f
Running Wild - 3 item Autorenew,210212519954,1446651330618,f
Running Wild - 5 Item,197986385938,1446647234618,f
Running Wild - 5 Item Autorenew,210212454418,1446647234618,f
After Dark - 3 Item,197987074066,1446651330618,f
After Dark - 3 Item Autorenew,210212618258,1446651330618,f
After Dark -5 Item,197986910226,1446647234618,f
After Dark - 5 Item Autorenew,210212585490,1446647234618,f
Set the Pace 3 Item,175541518354,1446651330618,f
In The Zone - 3 Item,175540207634,1446651330618,f
In The Zone - 5 Item,175535685650,1446647234618,f
May Flowers - 3 Items,207131443218,1446651330618,f
May Flowers - 3 Items Auto renew,219709145106,1446651330618,f
May Flowers - 5 Items,207131279378,1446647234618,f
May Flowers - 5 Items Auto renew,219709276178,1446647234618,f
Wild Orchid -3 Items,207131803666,1446651330618,f
Wild Orchid - 3 Items Auto renew,219709407250,1446651330618,f
Wild Orchid - 5 Items,207131705362,1446647234618,f
Wild Orchid - 5 Items Auto renew,219709538322,1446647234618,f
Sky's the Limit - 3 Items,207132033042,1446651330618,f
Sky's the Limit - 3 Items Auto renew,219709702162,1446651330618,f
Sky's the Limit - 5 Items,207131967506,1446647234618,f
Skys the Limit - 5 Items Auto renew,219709767698,1446647234618,f
Rose All Day - 3 Items,224674119698,1446651330618,f
Rose All Day - 5 Items,224674086930,1446647234618,f
Rose All Day - 3 Items Auto renew,224675037202,1446651330618,f
Rose All Day - 5 Items Auto renew,224674971666,1446647234618,f
Weekend Warrior - 3 Items,224674447378,1446651330618,f
Weekend Warrior - 3 Items Auto renew,224675364882,1446651330618,f
Weekend Warrior - 5 Items,224674381842,1446647234618,f
Weekend Warrior - 5 Items Auto renew,224675299346,1446647234618,f
Back to Black - 3 Items,224674316306,1446651330618,f
Back to Black - 3 Items Auto renew,224675233810,1446651330618,f
Back to Black - 5 Items,224674283538,1446647234618,f
Back to Black - 5 Items Auto renew,224675135506,1446647234618,f
