prod_id_key,prod_id_value,next_month_prod_id,prepaid
3 MONTHS,23729012754,2294127558714,t
power_moves3,69026938898,2294123954234,f
power_moves5,69026316306,2294127558714,f
go_time3,52386937778,2294123954234,f
go_time5,78480408594,2294127558714,f
power_moves3_auto,78541520914,2294123954234,f
power_moves5_auto,78657093650,2294127558714,f
go_time3_auto,91049066514,2294123954234,f
go_time5_auto1,91049230354,2294127558714,f
go_time5_auto2,91049197586,2294127558714,f
heart_soul_3item,91236466706,2294123954234,f
heart_soul_3item_auto,109303332882,2294123954234,f
heart_soul_5item,109301366802,2294127558714,f
heart_soul_5item_auto,109301366802,2294127558714,f
go_time_3item,52386037778,2294123954234,f
fit_fierce_5item,91235975186,2294127558714,f
modern_muse_5itemauto,91236368402,2294127558714,f
power_move_3_item,69026938898,2294123954234,f
fit_fierce_3item,91236171794,2294123954234,f
modern_muse_5item,91236368402,2294127558714,f
modern_muse_3item,91236466706,2294123954234,f
fit_fierce_3itemauto,91236171794,2294123954234,f
modern_muse_3itemauto,91236466706,2294123954234,f
La Vie En Rose - 3 Item,138427301906,2294123954234,f
La Vie En Rose - 3 Item  Auto renew,159581274130,2294123954234,f
La Vie En Rose - 5 Item,138427203602,2294127558714,f
La Vie En Rose - 5 Item  Auto renew,159580848146,2294127558714,f
Sweetest Thing - 3 Item,138427596818,2294123954234,f
Sweetest Thing - 3 Item  Auto renew,159587827730,2294123954234,f
Sweetest Thing - 5 Item,138427465746,2294127558714,f
Sweetest Thing - 5 Item  Auto renew,159586746386,2294127558714,f
Give Me Amore - 3 Item,138427793426,2294123954234,f
Give Me Amore - 3 Item  Auto renew,159593693202,2294123954234,f
Give Me Amore - 5 Item,138427695122,2294127558714,f
Give Me Amore - 5 Item  Auto renew,163444719634,2294127558714,f
Desert Sage - 3 Item,197985992722,2294123954234,f
Desert Sage - 3 Item Autorenew,210212388882,2294123954234,f
Desert Sage - 5 Item,197983830034,2294127558714,f
Desert Sage - 5 Item Autorenew,210212356114,2294127558714,f
Running Wild - 3 Item,197986877458,2294123954234,f
Running Wild - 3 item Autorenew,210212519954,2294123954234,f
Running Wild - 5 Item,197986385938,2294127558714,f
Running Wild - 5 Item Autorenew,210212454418,2294127558714,f
After Dark - 3 Item,197987074066,2294123954234,f
After Dark - 3 Item Autorenew,210212618258,2294123954234,f
After Dark -5 Item,197986910226,2294127558714,f
After Dark - 5 Item Autorenew,210212585490,2294127558714,f
Set the Pace 3 Item,175541518354,2294123954234,f
In The Zone - 3 Item,175540207634,2294123954234,f
In The Zone - 5 Item,175535685650,2294127558714,f
May Flowers - 3 Items,207131443218,2294123954234,f
May Flowers - 3 Items Auto renew,219709145106,2294123954234,f
May Flowers - 5 Items,207131279378,2294127558714,f
May Flowers - 5 Items Auto renew,219709276178,2294127558714,f
Wild Orchid -3 Items,207131803666,2294123954234,f
Wild Orchid - 3 Items Auto renew,219709407250,2294123954234,f
Wild Orchid - 5 Items,207131705362,2294127558714,f
Wild Orchid - 5 Items Auto renew,219709538322,2294127558714,f
Sky's the Limit - 3 Items,207132033042,2294123954234,f
Sky's the Limit - 3 Items Auto renew,219709702162,2294123954234,f
Sky's the Limit - 5 Items,207131967506,2294127558714,f
Skys the Limit - 5 Items Auto renew,219709767698,2294127558714,f
Rose All Day - 3 Items,224674119698,2294123954234,f
Rose All Day - 5 Items,224674086930,2294127558714,f
Rose All Day - 3 Items Auto renew,224675037202,2294123954234,f
Rose All Day - 5 Items Auto renew,224674971666,2294127558714,f
Weekend Warrior - 3 Items,224674447378,2294123954234,f
Weekend Warrior - 3 Items Auto renew,224675364882,2294123954234,f
Weekend Warrior - 5 Items,224674381842,2294127558714,f
Weekend Warrior - 5 Items Auto renew,224675299346,2294127558714,f
Back to Black - 3 Items,224674316306,2294123954234,f
Back to Black - 3 Items Auto renew,224675233810,2294123954234,f
Back to Black - 5 Items,224674283538,2294127558714,f
Back to Black - 5 Items Auto renew,224675135506,2294127558714,f
Print Paradise - 3 Items,1446651330618,2294123954234,f
Print Paradise - 5 Items,1446647234618,2294127558714,f
Print Paradise - 3 Items Auto renew,1508549427258,2294123954234,f
Print Paradise - 5 Items Auto renew,1508553392186,2294127558714,f
Seeing Stars - 3 Items,1446660702266,2294123954234,f
Seeing Stars - 5 Items,1446656999482,2294127558714,f
Seeing Stars - 3 Items Auto renew,1508540219450,2294123954234,f
Seeing Stars - 5 Items Auto renew,1508544643130,2294127558714,f
Vitamin Sea - 3 Items,1446669287482,2294123954234,f
Vitamin Sea - 5 Items,1446664306746,2294127558714,f
Vitamin Sea - 3 Items Auto renew,1508523147322,2294123954234,f
Vitamin Sea - 5 Items Auto renew,1508537106490,2294127558714,f
Meet Your Match - 3 Items,1719732535354,2294123954234,f
Meet Your Match - 5 Items,1719728111674,2294127558714,f
Meet Your Match - 3 Items Auto renew,1778624921658,2294123954234,f
Meet your Match - 5 items Auto renew,1778619449402,2294127558714,f
Tough Luxe - 3 Items,1719724507194,2294123954234,f
Tough Luxe - 5 Items,1719720935482,2294127558714,f
Tough Luxe - 3 Items Auto renew,1778637897786,2294123954234,f
Tough Luxe - 5 Items Auto renew,1778635964474,2294127558714,f
Power Surge - 3 Items,1719715201082,2294123954234,f
Power Surge - 5 Items,1719710810170,2294127558714,f
Power Surge - 3 Items Auto renew,1778644779066,2294123954234,f
Power Surge - 5 items Auto renew,1778643304506,2294127558714,f
Vinyasa Vibes - 3 Items,1401707069491,2294123954234,f
Vinyasa Vibes - 5 Items,1401707135027,2294127558714,f
Vinyasa Vibes - 3 Items Auto renew,1828595367994,2294123954234,f
Vinyasa Vibes - 5 Items Auto renew,1828594090042,2294127558714,f
Give Me Zen - 3 Items,1828557127738,2294123954234,f
Give Me Zen - 5 Items,1828556308538,2294127558714,f
Give Me Zen - 3 Items Auto renew,1828596514874,2294123954234,f
Give Me Zen - 5 Items Auto renew,1828595990586,2294127558714,f
Love and Light - 3 Items,1828559061050,2294123954234,f
Love and Light - 5 Items,1828558078010,2294127558714,f
Love and Light - 3 Items Auto renew,1828598218810,2294123954234,f
Love and Light - 5 Items Auto renew,1828596645946,2294127558714,f
Think Pink - 3 Items,1918032609338,2294123954234,f
Think Pink - 5 Items,1918033133626,2294127558714,f
Think Pink - 3 Items Auto renew,1930401415226,2294123954234,f
Think Pink - 5 Items Auto renew,1924814274618,2294127558714,f
Lounge Life - 3 Items,1918047453242,2294123954234,f
Lounge Life - 5 Items,1918045159482,2294127558714,f
Lounge Life - 3 Items Auto renew,1924849664058,2294123954234,f
Lounge Life - 5 Items Auto renew,1930396663866,2294127558714,f
Street Dreams - 3 Items,1918042636346,2294123954234,f
