count,product_title,shopify_product_id
2360,Spring Blossom - 3 Items,2338694234170
413,Prism Perfect - 5 Items,2339797532730
16,First Impression - 5 ITEMS,2294130999354
185,Basic Training - 5 Items,2340064526394
3,True Blue - 5 Items,2226391941178
1,350ml Rose Gold Bottle  Auto renew,8993522642
92,First Impression - 3 ITEMS,2294128738362
1,Street Smarts 2 - 5 items,2188532875322
1,One Zip Waist Pack,197323522066
4,Mauve Muse - 3 ITEMS  Auto renew,2294123954234
1,Wine & Roses - The February Collection (2019),2076495052858
2,The Jet Set - The February Collection (2019),2267638857786
65,Starstruck - 3 ITEMS,2294131458106
4,Starstruck - 3 ITEMS  Auto renew,2294131458106
1,May Flowers - 3 Items,207131443218
102,Mauve Muse - 5 ITEMS,2294127558714
54,3 MONTHS,23729012754
1,3 Months - 5 Items  Auto renew,2209789771834
2360,Prism Perfect - 3 Items,2339796320314
936,Brooklyn - 5 Items,2339790127162
461,Spring Blossom - 5 Items,2338694856762
1,First Impression - 3 ITEMS  Auto renew,2294128738362
3,Color Theory - 3 Items,2076342452282
10,To the Limit - 5 ITEMS,2294135029818
7,Starstruck - 5 ITEMS,2294132539450
280,Mauve Muse - 3 ITEMS,2294123954234
2,Street Smarts 2 - 3 Items,2188530778170
40,True Blue - 3 Items,2226409963578
134,3 Months - 3 Items,2209786298426
25,3 Months - 5 Items,2209789771834
1,3 MONTHS,9175678162
956,Basic Training - 3 Items,2340063969338
1,Color Theory - 5 Items,2076357886010
5,To the Limit - 3 ITEMS  Auto renew,2294132932666
1,To the Limit - 5 ITEMS  Auto renew,2294135029818
4137,Brooklyn - 3 Items,2339789013050
1,Starstruck - 5 ITEMS  Auto renew,2294132539450
61,To the Limit - 3 ITEMS,2294132932666
