prod_id_key,prod_id_value,next_month_prod_id,prepaid
Back To Basics - 2 Items,4408141545530,4366058225722,f
Back To Basics - 3 Items,4408141643834,4366058913850,f
Back To Basics - 3 Items Auto renew,4408141643834,4366058913850,f
Back To Basics - 5 Items,4408142102586,4366059143226,f
Back To Basics - 5 Items Auto renew,4408142102586,4366059143226,f
Bahama Babe - 3 Items Auto renew,4399644639290,4366058913850,f
Bahama Babe - 5 Items,4399644934202,4366059143226,f
Blue Skies - 5 Items,4398409089082,4366059143226,f
Blue Skies - 5 Items Auto renew,4398409089082,4366059143226,f
City Limits - 2 Items,4366060453946,4366058225722,f
City Limits - 2 Items  Auto renew,4366060453946,4366058225722,f
City Limits - 3 Items  Auto renew,4366061174842,4366058913850,f
City Limits - 5 Items,4366066024506,4366059143226,f
Cupids Kiss - 2 Items,4382377443386,4366058225722,f
Cupids Kiss - 2 Items Auto renew,4382377443386,4366058225722,f
Cupids Kiss - 3 Items,4382378229818,4366058913850,f
Cupids Kiss - 3 Items Auto renew,4382378229818,4366058913850,f
Cupids Kiss - 5 Items,4382378360890,4366059143226,f
Cupids Kiss - 5 Items Auto renew,4382378360890,4366059143226,f
Dream On - 2 Items,4408153636922,4366058225722,f
Dream On - 3 Items,4408153833530,4366058913850,f
Dream On - 3 Items Auto renew,4408153833530,4366058913850,f
Dream On - 5 Items,4408154161210,4366059143226,f
Ellie Picks - 2 Items,4399742615610,4366058225722,f
Ellie Picks - 3 Items,4399742746682,4366058913850,f
Ellie Picks - 5 Items,4399742910522,4366059143226,f
Floral Bliss - 3 Items  Auto renew,4320725106746,4366058913850,f
Floral Bliss - 5 Items,4320726024250,4366059143226,f
Floral Bliss - 5 Items  Auto renew,4320726024250,4366059143226,f
Glow Getter - 2 Items,4408155603002,4366058225722,f
Glow Getter - 3 Items,4408155701306,4366058913850,f
Glow Getter - 3 Items Auto renew,4408155701306,4366058913850,f
Glow Getter - 5 Items,4408176607290,4366059143226,f
Kaleidoscope - 2 Items,4408154587194,4366058225722,f
Kaleidoscope - 2 Items Auto renew,4408154587194,4366058225722,f
Kaleidoscope - 3 Items,4408154718266,4366058913850,f
Kaleidoscope - 3 Items Auto renew,4408154718266,4366058913850,f
Kaleidoscope - 5 Items,4408154980410,4366059143226,f
Kaleidoscope - 5 Items Auto renew,4408154980410,4366059143226,f
Matcha Cha Cha - 2 Items,4408142331962,4366058225722,f
Matcha Cha Cha - 3 Items,4408142463034,4366058913850,f
Matcha Cha Cha - 3 Items Auto renew,4408142463034,4366058913850,f
Matcha Cha Cha - 5 Items,4408153047098,4366059143226,f
Matcha Cha Cha - 5 Items Auto renew,4408153047098,4366059143226,f
Supernova - 3 Items Auto renew,4382368890938,4366058913850,f
Under The Radar - 3 Items Auto renew,4398464565306,4366058913850,f
Under The Radar - 5 Items,4399643066426,4366059143226,f
Violet Rhapsody - 2 Items,4408177066042,4366058225722,f
Violet Rhapsody - 3 Items,4408177164346,4366058913850,f
Violet Rhapsody - 3 Items Auto renew,4408177164346,4366058913850,f
Violet Rhapsody - 5 Items,4408177918010,4366059143226,f
