prod_id_key,prod_id_value,next_month_prod_id,prepaid
Back To Basics - 3 Items,4408141643834,4398408073274,f
Back To Basics - 3 Items Auto renew,4408141643834,4398408073274,f
Back To Basics - 5 Items,4408142102586,4398409089082,f
City Limits - 3 Items,4366061174842,4398408073274,f
City Limits - 3 Items  Auto renew,4366061174842,4398408073274,f
City Limits - 5 Items,4366066024506,4398409089082,f
Clean Slate - 3 Items,4373264957498,4398408073274,f
Dream On - 3 Items,4408153833530,4398408073274,f
Dream On - 3 Items Auto renew,4408153833530,4398408073274,f
Dream On - 5 Items,4408154161210,4398409089082,f
Floral Bliss - 3 Items  Auto renew,4320725106746,4398408073274,f
Glow Getter - 3 Items,4408155701306,4398408073274,f
Glow Getter - 5 Items,4408176607290,4398409089082,f
Glow Getter - 5 Items Auto renew,4408176607290,4398409089082,f
Kaleidoscope - 3 Items,4408154718266,4398408073274,f
Kaleidoscope - 3 Items Auto renew,4408154718266,4398408073274,f
Kaleidoscope - 5 Items,4408154980410,4398409089082,f
Making Moves - 3 Items,4398463516730,4398408073274,f
Making Moves - 5 Items,4398463877178,4398409089082,f
Matcha Cha Cha - 3 Items,4408142463034,4398408073274,f
Matcha Cha Cha - 3 Items Auto renew,4408142463034,4398408073274,f
Matcha Cha Cha - 5 Items Auto renew,4408153047098,4398409089082,f
Under The Radar - 3 Items,4398464565306,4398408073274,f
Under The Radar - 3 Items Auto renew,4398464565306,4398408073274,f
Under The Radar - 5 Items,4399643066426,4398409089082,f
Violet Rhapsody - 3 Items,4408177164346,4398408073274,f
Violet Rhapsody - 3 Items Auto renew,4408177164346,4398408073274,f
Violet Rhapsody - 5 Items,4408177918010,4398409089082,f
