prod_id_key,prod_id_value,next_month_prod_id,prepaid
Back To Basics - 2 Items,4408141545530,4429044121658,f
Back To Basics - 3 Items,4408141643834,4429051559994,f
Back To Basics - 3 Items Auto renew,4408141643834,4429051559994,f
Back To Basics - 5 Items,4408142102586,4429052051514,f
City Limits - 2 Items  Auto renew,4366060453946,4429044121658,f
City Limits - 3 Items,4366061174842,4429051559994,f
City Limits - 5 Items,4366066024506,4429052051514,f
Cupids Kiss - 2 Items,4382377443386,4429044121658,f
Cupids Kiss - 5 Items,4382378360890,4429052051514,f
Dream On - 3 Items,4408153833530,4429051559994,f
Glow Getter - 2 Items,4408155603002,4429044121658,f
Glow Getter - 3 Items,4408155701306,4429051559994,f
Glow Getter - 5 Items,4408176607290,4429052051514,f
Kaleidoscope - 2 Items,4408154587194,4429044121658,f
Kaleidoscope - 2 Items Auto renew,4408154587194,4429044121658,f
Kaleidoscope - 3 Items,4408154718266,4429051559994,f
Kaleidoscope - 5 Items,4408154980410,4429052051514,f
Matcha Cha Cha - 3 Items,4408142463034,4429051559994,f
Matcha Cha Cha - 5 Items,4408153047098,4429052051514,f
Violet Rhapsody - 2 Items,4408177066042,4429044121658,f
Violet Rhapsody - 3 Items,4408177164346,4429051559994,f
