id,subscription_id,address_id,customer_id,created_at,updated_at,next_charge_scheduled_at,cancelled_at,product_title,price,quantity,status,shopify_product_id,shopify_variant_id,sku,order_interval_unit,order_interval_frequency,charge_interval_frequency,order_day_of_month,order_day_of_week,raw_line_item_properties,synced_at,expire_after_specific_number_charges
3125,9446125,6346048,4075964,2017-11-28 10:36:43,2017-11-29 08:43:18,2018-02-28 00:00:00,,Power Moves - 5 Item,49.95,1,ACTIVE,69026316306,705712422930,722457573042,month,1,1,0,,"[{""name"": ""charge_interval_frequency"", ""value"": ""1""}, {""name"": ""charge_interval_unit_type"", ""value"": ""Months""}, {""name"": ""leggings"", ""value"": ""L""}, {""name"": ""main-product"", ""value"": ""true""}, {""name"": ""shipping_interval_frequency"", ""value"": ""1""}, {""name"": ""shipping_interval_unit_type"", ""value"": ""Months""}, {""name"": ""sports-bra"", ""value"": ""L""}, {""name"": ""tops"", ""value"": ""M""}]",,0
3294,9424549,6333514,6555556,2017-11-27 20:31:21,2017-11-29 08:32:13,2018-02-03 00:00:00,,Power Moves - 5 Item,49.95,1,ACTIVE,69026316306,705712422930,722457573042,month,1,1,0,,"[{""name"": ""charge_interval_frequency"", ""value"": ""1""}, {""name"": ""charge_interval_unit_type"", ""value"": ""Months""}, {""name"": ""leggings"", ""value"": ""M""}, {""name"": ""main-product"", ""value"": ""true""}, {""name"": ""shipping_interval_frequency"", ""value"": ""1""}, {""name"": ""shipping_interval_unit_type"", ""value"": ""Months""}, {""name"": ""sports-bra"", ""value"": ""L""}, {""name"": ""tops"", ""value"": ""L""}]",,0
4074,9296935,6257881,6480085,2017-11-24 13:30:41,2017-11-29 08:10:41,2018-02-01 00:00:00,,Power Moves - 5 Item,49.95,1,ACTIVE,69026316306,705712422930,722457573042,month,1,1,0,,"[{""name"": ""charge_interval_frequency"", ""value"": ""1""}, {""name"": ""charge_interval_unit_type"", ""value"": ""Months""}, {""name"": ""leggings"", ""value"": ""S""}, {""name"": ""main-product"", ""value"": ""true""}, {""name"": ""shipping_interval_frequency"", ""value"": ""1""}, {""name"": ""shipping_interval_unit_type"", ""value"": ""Months""}, {""name"": ""sports-bra"", ""value"": ""S""}, {""name"": ""tops"", ""value"": ""S""}]",,0
6614,8586694,5843203,6054544,2017-10-31 21:04:19,2017-11-30 15:14:00,,,Power Moves - 5 Item,49.95,1,ACTIVE,69026316306,705712422930,722457573042,month,1,1,0,,"[{""name"": ""charge_interval_frequency"", ""value"": ""1""}, {""name"": ""charge_interval_unit_type"", ""value"": ""Months""}, {""name"": ""leggings"", ""value"": ""L""}, {""name"": ""main-product"", ""value"": ""true""}, {""name"": ""shipping_interval_frequency"", ""value"": ""1""}, {""name"": ""shipping_interval_unit_type"", ""value"": ""Months""}, {""name"": ""sports-bra"", ""value"": ""M""}, {""name"": ""sports-jacket"", ""value"": ""L""}, {""name"": ""tops"", ""value"": ""M""}]",,0
7105,8285779,5658328,5867587,2017-10-20 12:16:37,2018-01-03 14:36:55,2018-02-20 00:00:00,,Power Moves - 5 Item,49.95,1,ACTIVE,69026316306,705712422930,722457573042,month,1,1,0,,"[{""name"": ""leggings"", ""value"": ""L""}, {""name"": ""sports-bra"", ""value"": ""XL""}, {""name"": ""tops"", ""value"": ""XL""}]",,0
8620,7636322,5212403,5418926,2017-09-29 12:13:05,2017-11-29 19:04:29,,,Power Moves - 5 Item,49.95,1,ACTIVE,69026316306,705712422930,722457573042,month,1,1,0,,"[{""name"": ""charge_interval_frequency"", ""value"": ""1""}, {""name"": ""charge_interval_unit_type"", ""value"": ""Months""}, {""name"": ""leggings"", ""value"": ""S""}, {""name"": ""main-product"", ""value"": ""true""}, {""name"": ""shipping_interval_frequency"", ""value"": ""1""}, {""name"": ""shipping_interval_unit_type"", ""value"": ""Months""}, {""name"": ""sports-bra"", ""value"": ""S""}, {""name"": ""tops"", ""value"": ""S""}, {""name"": ""sports-jacket"", ""value"": ""S""}]",,0
8883,7547023,5166799,5371279,2017-09-26 21:53:02,2017-12-08 15:57:36,2018-02-03 00:00:00,,Power Moves - 5 Item,49.95,1,ACTIVE,69026316306,705712422930,722457573042,month,1,1,0,,"[{""name"": ""leggings"", ""value"": ""M""}, {""name"": ""sports-bra"", ""value"": ""L""}, {""name"": ""tops"", ""value"": ""M""}, {""name"": ""sports-jacket"", ""value"": ""M""}]",,0
10649,6985263,4788177,4979193,2017-09-03 01:48:14,2017-12-08 08:02:07,2018-02-07 00:00:00,,Power Moves - 5 Item,49.95,1,ACTIVE,69026316306,705712422930,722457573042,month,1,1,0,,"[{""name"": ""charge_interval_frequency"", ""value"": ""1""}, {""name"": ""charge_interval_unit_type"", ""value"": ""Months""}, {""name"": ""leggings"", ""value"": ""S""}, {""name"": ""main-product"", ""value"": ""true""}, {""name"": ""shipping_interval_frequency"", ""value"": ""1""}, {""name"": ""shipping_interval_unit_type"", ""value"": ""Months""}, {""name"": ""sports-bra"", ""value"": ""S""}, {""name"": ""tops"", ""value"": ""S""}, {""name"": ""sports-jacket"", ""value"": ""S""}]",,0
11180,6873536,4708160,3440757,2017-08-29 21:57:54,2017-11-29 20:05:51,,,Power Moves - 5 Item,49.95,1,ACTIVE,69026316306,705712422930,722457573042,month,1,1,0,,"[{""name"": ""charge_interval_frequency"", ""value"": ""1""}, {""name"": ""charge_interval_unit_type"", ""value"": ""Months""}, {""name"": ""leggings"", ""value"": ""L""}, {""name"": ""main-product"", ""value"": ""true""}, {""name"": ""shipping_interval_frequency"", ""value"": ""1""}, {""name"": ""shipping_interval_unit_type"", ""value"": ""Months""}, {""name"": ""sports-bra"", ""value"": ""XL""}, {""name"": ""tops"", ""value"": ""L""}, {""name"": ""sports-jacket"", ""value"": ""L""}]",,0
12672,6198081,4234116,4417809,2017-08-02 13:57:35,2017-11-29 20:52:14,2018-02-07 00:00:00,,Power Moves - 5 Item,49.95,1,ACTIVE,69026316306,705712422930,722457573042,month,1,1,0,,"[{""name"": ""charge_interval_frequency"", ""value"": ""1""}, {""name"": ""charge_interval_unit_type"", ""value"": ""Months""}, {""name"": ""leggings"", ""value"": ""S""}, {""name"": ""main-product"", ""value"": ""true""}, {""name"": ""shipping_interval_frequency"", ""value"": ""1""}, {""name"": ""shipping_interval_unit_type"", ""value"": ""Months""}, {""name"": ""sports-bra"", ""value"": ""S""}, {""name"": ""tops"", ""value"": ""S""}, {""name"": ""sports-jacket"", ""value"": ""S""}]",,0
