prod_id_key,prod_id_value,next_month_prod_id,prepaid
Adventure Time - 2 Items,2503573962810,4320734412858,f
Adventure Time - 3 Items,2477581697082,4320734609466,f
Adventure Time - 5 Items,2477581795386,4320734904378,f
Balanced Body - 3 Items,2525988519994,4320734609466,f
Balanced Body - 3 Items  Auto renew,2525988519994,4320734609466,f
Balanced Body - 5 Items,2525989175354,4320734904378,f
Boss Babe - 2 Items,2525979639866,4320734412858,f
Boss Babe - 3 Items,2525980524602,4320734609466,f
Boss Babe - 3 Items  Auto renew,2525980524602,4320734609466,f
Boss Babe - 5 Items,2525981343802,4320734904378,f
Canyon Sunset - 2 Items,2525982425146,4320734412858,f
Canyon Sunset - 3 Items,2525982588986,4320734609466,f
Canyon Sunset - 3 Items  Auto renew,2525982588986,4320734609466,f
Canyon Sunset - 5 Items,2525983178810,4320734904378,f
English Fog - 2 Items,2514830327866,4320734412858,f
English Fog - 2 Items  Auto renew,2514830327866,4320734412858,f
English Fog - 3 Items,2514830491706,4320734609466,f
English Fog - 5 Items,2514830852154,4320734904378,f
Fierce & Floral - 3 Items,2227262881850,4320734609466,f
First Chakra - 2 Items,2496307560506,4320734412858,f
First Chakra - 3 Items,2494099554362,4320734609466,f
First Chakra - 3 Items  Auto renew,2494099554362,4320734609466,f
First Chakra - 5 Items,2494100176954,4320734904378,f
First Chakra - 5 Items  Auto renew,2494100176954,4320734904378,f
Rise & Shine - 5 Items,2477579599930,4320734904378,f
Sangria Splash - 2 Items,2503579500602,4320734412858,f
Sangria Splash - 3 Items,2457952845882,4320734609466,f
Sangria Splash - 5 Items,2457953173562,4320734904378,f
Second Skin - 2 Items,2525983866938,4320734412858,f
Second Skin - 3 Items,2525983998010,4320734609466,f
Second Skin - 3 Items  Auto renew,2525983998010,4320734609466,f
Second Skin - 5 Items,2525984456762,4320734904378,f
Second Skin - 5 Items  Auto renew,2525984456762,4320734904378,f
Soul Purpose - 2 Items,2525985210426,4320734412858,f
Soul Purpose - 2 Items  Auto renew,2525985210426,4320734412858,f
Soul Purpose - 3 Items,2525985439802,4320734609466,f
Soul Purpose - 3 Items  Auto renew,2525985439802,4320734609466,f
Soul Purpose - 5 Items,2525987668026,4320734904378,f
Steel the Show - 3 Items,2267622539322,4320734609466,f
Ultraviolet - 2 Items,2514832261178,4320734412858,f
Ultraviolet - 3 Items,2514833440826,4320734609466,f
Ultraviolet - 5 Items,2514833866810,4320734904378,f
Velvet Crush - 2 Items,2525970399290,4320734412858,f
Velvet Crush - 3 Items,2525970530362,4320734609466,f
Velvet Crush - 3 Items  Auto renew,2525970530362,4320734609466,f
Velvet Crush - 5 Items,2525978525754,4320734904378,f
Velvet Crush - 5 Items  Auto renew,2525978525754,4320734904378,f
Wild Heart - 2 Items,2496309329978,4320734412858,f
Wild Heart - 3 Items,2494104535098,4320734609466,f
Wild Heart - 5 Items,2494104698938,4320734904378,f
