prod_id_key,prod_id_value,next_month_prod_id,prepaid
Berry Crush - 2 Items,4366057209914,2525982425146,f
Berry Crush - 3 Items,4366057406522,2525982588986,f
Berry Crush - 5 Items,4366057963578,2525983178810,f
City Limits - 2 Items,4366060453946,2525982425146,f
City Limits - 3 Items,4366061174842,2525982588986,f
City Limits - 5 Items,4366066024506,2525983178810,f
Clean Slate - 2 Items,4373264597050,2525982425146,f
Clean Slate - 3 Items,4373264957498,2525982588986,f
Clean Slate - 5 Items,4373306998842,2525983178810,f
Crunch Time - 2 Items,4366079459386,2525982425146,f
Crunch Time - 3 Items,4366079787066,2525982588986,f
Crunch Time - 5 Items,4366080311354,2525983178810,f
Ivy League - 2 Items,4366077132858,2525982425146,f
Ivy League - 3 Items,4366077591610,2525982588986,f
Ivy League - 5 Items,4366079098938,2525983178810,f
Paradise Cove - 2 Items,4366058225722,2525982425146,f
Paradise Cove - 3 Items,4366058782778,2525982588986,f
Paradise Cove - 5 Items,4366059143226,2525983178810,f
