created_at,id,object_id,object_class,description,customer_id,store_id,verb,source,updated_at,ip,description_extended,general_properties,ip_address,col1,col2,col3,col4,col5,col6,col7,col8,col9,address_id,subscription_id
4/28/21 14:25,2297794908,2944339,subscription,[API] fwallace@fambrands.com updated Subscription #2944339,1904923,8995,updated,[API] fwallace@fambrands.com,4/28/21 14:25,None,"Subscription item ""Wildlife - 5 Items"" updated","{""trace"": ""purchase_item.py:927:queue_event_for_item_update"""," ""changes"": {""sku"": {""after"": ""745934624556"""," ""before"": ""745934606699""}"," ""product_title"": {""after"": ""Wildlife - 5 Items"""," ""before"": ""Sassy Sol - 5 Items""}"," ""shopify_product_id"": {""after"": 6561713193018"," ""before"": 6549354119226}"," ""shopify_variant_id"": {""after"": 39310501937210"," ""before"": 39279626747962}}"," ""request_id"": ""1286-1619634305.054-108.251.61.14-1071""}",108.251.61.14,1880428,2944339
4/28/21 14:23,2297790543,38827292,subscription,[API] fwallace@fambrands.com updated Subscription #38827292,2269441,8995,updated,[API] fwallace@fambrands.com,4/28/21 14:23,None,"Subscription item ""Wildlife - 3 Items"" updated","{""trace"": ""purchase_item.py:927:queue_event_for_item_update"""," ""changes"": {""sku"": {""after"": ""745934624549"""," ""before"": ""745934606835""}"," ""product_title"": {""after"": ""Wildlife - 3 Items"""," ""before"": ""After The Storm - 3 Items""}"," ""shopify_product_id"": {""after"": 6561711292474"," ""before"": 6551170515002}"," ""shopify_variant_id"": {""after"": 39310499872826"," ""before"": 39284134445114}}"," ""request_id"": ""1143-1619634214.246-108.251.61.14-1112""}",108.251.61.14,29701162,38827292
4/28/21 14:23,2297789706,3578236,subscription,[API] fwallace@fambrands.com updated Subscription #3578236,2410474,8995,updated,[API] fwallace@fambrands.com,4/28/21 14:23,None,"Subscription item ""Wildlife - 3 Items"" updated","{""trace"": ""purchase_item.py:927:queue_event_for_item_update"""," ""changes"": {""sku"": {""after"": ""745934624549"""," ""before"": ""745934606651""}"," ""product_title"": {""after"": ""Wildlife - 3 Items"""," ""before"": ""Spring Fling - 3 Items""}"," ""shopify_product_id"": {""after"": 6561711292474"," ""before"": 6549344452666}"," ""shopify_variant_id"": {""after"": 39310499872826"," ""before"": 39279586148410}}"," ""request_id"": ""1286-1619634195.214-108.251.61.14-783""}",108.251.61.14,2348032,3578236
4/28/21 14:20,2297782412,69533122,subscription,[API] fwallace@fambrands.com updated Subscription #69533122,2471473,8995,updated,[API] fwallace@fambrands.com,4/28/21 14:20,None,"Subscription item ""Wildlife - 2 Items"" updated","{""trace"": ""purchase_item.py:927:queue_event_for_item_update"""," ""changes"": {""sku"": {""after"": ""745934624532"""," ""before"": ""745934606705""}"," ""product_title"": {""after"": ""Wildlife - 2 Items"""," ""before"": ""Stargazer - 2 Items""}"," ""shopify_product_id"": {""after"": 6561710506042"," ""before"": 6549393244218}"," ""shopify_variant_id"": {""after"": 39310498529338"," ""before"": 39279753068602}}"," ""request_id"": ""1142-1619634045.592-108.251.61.14-1077""}",108.251.61.14,43802814,69533122
4/28/21 14:13,2297763168,113091990,subscription,[API] fwallace@fambrands.com updated Subscription #113091990,2799964,8995,updated,[API] fwallace@fambrands.com,4/28/21 14:13,None,"Subscription item ""Wildlife - 5 Items"" updated","{""trace"": ""purchase_item.py:927:queue_event_for_item_update"""," ""changes"": {""sku"": {""after"": ""745934624556"""," ""before"": ""745934606699""}"," ""product_title"": {""after"": ""Wildlife - 5 Items"""," ""before"": ""Sassy Sol - 5 Items""}"," ""shopify_product_id"": {""after"": 6561713193018"," ""before"": 6549354119226}"," ""shopify_variant_id"": {""after"": 39310501937210"," ""before"": 39279626747962}}"," ""request_id"": ""1274-1619633636.890-108.251.61.14-1030""}",108.251.61.14,57207008,113091990
4/28/21 14:21,2297784617,4279590,subscription,[API] fwallace@fambrands.com updated Subscription #4279590,2993796,8995,updated,[API] fwallace@fambrands.com,4/28/21 14:21,None,"Subscription item ""Wildlife - 5 Items"" updated","{""trace"": ""purchase_item.py:927:queue_event_for_item_update"""," ""changes"": {""sku"": {""after"": ""745934624556"""," ""before"": ""79999999998""}"," ""product_title"": {""after"": ""Wildlife - 5 Items"""," ""before"": ""Ellie Picks - 5 Items""}"," ""shopify_product_id"": {""after"": 6561713193018"," ""before"": 4399742910522}"," ""shopify_variant_id"": {""after"": 39310501937210"," ""before"": 31328301482042}}"," ""request_id"": ""1286-1619634095.236-108.251.61.14-966""}",108.251.61.14,2859246,4279590
4/28/21 14:21,2297783380,62639067,subscription,[API] fwallace@fambrands.com updated Subscription #62639067,3156030,8995,updated,[API] fwallace@fambrands.com,4/28/21 14:21,None,"Subscription item ""Wildlife - 3 Items"" updated","{""trace"": ""purchase_item.py:927:queue_event_for_item_update"""," ""changes"": {""sku"": {""after"": ""745934624549"""," ""before"": ""745934606682""}"," ""product_title"": {""after"": ""Wildlife - 3 Items"""," ""before"": ""Sassy Sol - 3 Items""}"," ""shopify_product_id"": {""after"": 6561711292474"," ""before"": 6549346222138}"," ""shopify_variant_id"": {""after"": 39310499872826"," ""before"": 39279591424058}}"," ""request_id"": ""1285-1619634069.752-108.251.61.14-1073""}",108.251.61.14,41848185,62639067
4/28/21 14:25,2297794842,6173707,subscription,[API] fwallace@fambrands.com updated Subscription #6173707,4400704,8995,updated,[API] fwallace@fambrands.com,4/28/21 14:25,None,"Subscription item ""Wildlife - 3 Items"" updated","{""trace"": ""purchase_item.py:927:queue_event_for_item_update"""," ""changes"": {""sku"": {""after"": ""745934624549"""," ""before"": ""745934606712""}"," ""product_title"": {""after"": ""Wildlife - 3 Items"""," ""before"": ""Stargazer - 3 Items""}"," ""shopify_product_id"": {""after"": 6561711292474"," ""before"": 6549405040698}"," ""shopify_variant_id"": {""after"": 39310499872826"," ""before"": 39279797403706}}"," ""request_id"": ""1345-1619634303.422-108.251.61.14-1032""}",108.251.61.14,4217734,6173707
4/28/21 14:25,2297794752,6175765,subscription,[API] fwallace@fambrands.com updated Subscription #6175765,4402171,8995,updated,[API] fwallace@fambrands.com,4/28/21 14:25,None,"Subscription item ""Wildlife - 3 Items"" updated","{""trace"": ""purchase_item.py:927:queue_event_for_item_update"""," ""changes"": {""sku"": {""after"": ""745934624549"""," ""before"": ""745934606712""}"," ""product_title"": {""after"": ""Wildlife - 3 Items"""," ""before"": ""Stargazer - 3 Items""}"," ""shopify_product_id"": {""after"": 6561711292474"," ""before"": 6549405040698}"," ""shopify_variant_id"": {""after"": 39310499872826"," ""before"": 39279797403706}}"," ""request_id"": ""1286-1619634301.338-108.251.61.14-991""}",108.251.61.14,4219162,6175765
4/28/21 14:19,2297780212,75555658,subscription,[API] fwallace@fambrands.com updated Subscription #75555658,4673137,8995,updated,[API] fwallace@fambrands.com,4/28/21 14:19,None,"Subscription item ""Wildlife - 3 Items"" updated","{""trace"": ""purchase_item.py:927:queue_event_for_item_update"""," ""changes"": {""sku"": {""after"": ""745934624549"""," ""before"": ""745934606712""}"," ""product_title"": {""after"": ""Wildlife - 3 Items"""," ""before"": ""Stargazer - 3 Items""}"," ""shopify_product_id"": {""after"": 6561711292474"," ""before"": 6549405040698}"," ""shopify_variant_id"": {""after"": 39310499872826"," ""before"": 39279797403706}}"," ""request_id"": ""1346-1619633994.215-108.251.61.14-1028""}",108.251.61.14,45749562,75555658
4/28/21 14:25,2297794657,8058808,subscription,[API] fwallace@fambrands.com updated Subscription #8058808,5726830,8995,updated,[API] fwallace@fambrands.com,4/28/21 14:25,None,"Subscription item ""Wildlife - 5 Items"" updated","{""trace"": ""purchase_item.py:927:queue_event_for_item_update"""," ""changes"": {""sku"": {""after"": ""745934624556"""," ""before"": ""745934606729""}"," ""product_title"": {""after"": ""Wildlife - 5 Items"""," ""before"": ""Stargazer - 5 Items""}"," ""shopify_product_id"": {""after"": 6561713193018"," ""before"": 6549405696058}"," ""shopify_variant_id"": {""after"": 39310501937210"," ""before"": 39279803039802}}"," ""request_id"": ""1274-1619634299.521-108.251.61.14-987""}",108.251.61.14,5519881,8058808
4/28/21 14:24,2297794571,8288110,subscription,[API] fwallace@fambrands.com updated Subscription #8288110,5869093,8995,updated,[API] fwallace@fambrands.com,4/28/21 14:24,None,"Subscription item ""Wildlife - 5 Items"" updated","{""trace"": ""purchase_item.py:927:queue_event_for_item_update"""," ""changes"": {""sku"": {""after"": ""745934624556"""," ""before"": ""745934606781""}"," ""product_title"": {""after"": ""Wildlife - 5 Items"""," ""before"": ""Royal Flush - 5 Items""}"," ""shopify_product_id"": {""after"": 6561713193018"," ""before"": 6549474246714}"," ""shopify_variant_id"": {""after"": 39310501937210"," ""before"": 39280013148218}}"," ""request_id"": ""1206-1619634297.678-108.251.61.14-738""}",108.251.61.14,5659780,8288110
4/28/21 14:24,2297794529,9592987,subscription,[API] fwallace@fambrands.com updated Subscription #9592987,6649444,8995,updated,[API] fwallace@fambrands.com,4/28/21 14:24,None,"Subscription item ""Wildlife - 5 Items"" updated","{""trace"": ""purchase_item.py:927:queue_event_for_item_update"""," ""changes"": {""sku"": {""after"": ""745934624556"""," ""before"": ""745934606699""}"," ""product_title"": {""after"": ""Wildlife - 5 Items"""," ""before"": ""Sassy Sol - 5 Items""}"," ""shopify_product_id"": {""after"": 6561713193018"," ""before"": 6549354119226}"," ""shopify_variant_id"": {""after"": 39310501937210"," ""before"": 39279626747962}}"," ""request_id"": ""1285-1619634296.773-108.251.61.14-1041""}",108.251.61.14,6429352,9592987
4/28/21 14:24,2297794423,10586673,subscription,[API] fwallace@fambrands.com updated Subscription #10586673,7296714,8995,updated,[API] fwallace@fambrands.com,4/28/21 14:24,None,"Subscription item ""Wildlife - 3 Items"" updated","{""trace"": ""purchase_item.py:927:queue_event_for_item_update"""," ""changes"": {""sku"": {""after"": ""745934624549"""," ""before"": ""745934606651""}"," ""product_title"": {""after"": ""Wildlife - 3 Items"""," ""before"": ""Spring Fling - 3 Items""}"," ""shopify_product_id"": {""after"": 6561711292474"," ""before"": 6549344452666}"," ""shopify_variant_id"": {""after"": 39310499872826"," ""before"": 39279586148410}}"," ""request_id"": ""1142-1619634294.616-108.251.61.14-991""}",108.251.61.14,7103808,10586673
4/28/21 14:24,2297794343,11098249,subscription,[API] fwallace@fambrands.com updated Subscription #11098249,7608694,8995,updated,[API] fwallace@fambrands.com,4/28/21 14:24,None,"Subscription item ""Wildlife - 3 Items"" updated","{""trace"": ""purchase_item.py:927:queue_event_for_item_update"""," ""changes"": {""sku"": {""after"": ""745934624549"""," ""before"": ""745934606712""}"," ""product_title"": {""after"": ""Wildlife - 3 Items"""," ""before"": ""Stargazer - 3 Items""}"," ""shopify_product_id"": {""after"": 6561711292474"," ""before"": 6549405040698}"," ""shopify_variant_id"": {""after"": 39310499872826"," ""before"": 39279797403706}}"," ""request_id"": ""1143-1619634292.764-108.251.61.14-1033""}",108.251.61.14,7403770,11098249
