prod_id_key,prod_id_value,next_month_prod_id,prepaid
Clean Slate - 3 Items,4373264957498,4320757153850,f
Berry Crush - 3 Items,4366057406522,4320757153850,f
Ivy League - 3 Items,4366077591610,4320757153850,f
City Limits - 3 Items,4366061174842,4320757153850,f
City Limits - 5 Items,4366066024506,4320757973050,f
Clean Slate - 2 Items,4373264597050,4320736772154,f
City Limits - 2 Items,4366060453946,4320736772154,f
Berry Crush - 5 Items,4366057963578,4320757973050,f
Clean Slate - 5 Items,4373306998842,4320757973050,f
Ivy League - 5 Items,4366079098938,4320757973050,f
Berry Crush - 2 Items,4366057209914,4320736772154,f
Ivy League - 2 Items,4366077132858,4320736772154,f
