count,product_title,shopify_product_id
219,Back To Basics - 3 Items,4408141643834
91,Back To Basics - 5 Items,4408142102586
9,Bahama Babe - 2 Items,4399644442682
2,Bahama Babe - 3 Items,4399644639290
6,Berry Crush - 2 Items,4366057209914
17,Blue Skies - 2 Items,4398406959162
3,Blue Skies - 3 Items,4398408073274
1,Blue Skies - 5 Items,4398409089082
11,Clean Slate - 2 Items,4373264597050
47,Dream On - 3 Items,4408153833530
24,Dream On - 5 Items,4408154161210
5,Ellie Picks - 2 Items,4399742615610
36,Ellie Picks - 3 Items,4399742746682
13,Ellie Picks - 5 Items,4399742910522
10,Floral Bliss - 2 Items,4320724910138
2,Floral Bliss - 3 Items,4320725106746
1,Floral Bliss - 5 Items,4320726024250
167,Glow Getter - 3 Items,4408155701306
98,Glow Getter - 5 Items,4408176607290
47,Hidden Gem - 2 Items,4382369808442
213,Kaleidoscope - 3 Items,4408154718266
119,Kaleidoscope - 5 Items,4408154980410
7,Making Moves - 2 Items,4398463418426
1,Making Moves - 5 Items,4398463877178
214,Matcha Cha Cha - 3 Items,4408142463034
99,Matcha Cha Cha - 5 Items,4408153047098
2,Queen Vibes - 2 Items,4399738388538
10,Show Your Stripes - 2 Items,4320727367738
1,Show Your Stripes - 3 Items,4320729464890
21,Under The Radar - 2 Items,4398464499770
1,Under The Radar - 3 Items,4398464565306
152,Violet Rhapsody - 3 Items,4408177164346
64,Violet Rhapsody - 5 Items,4408177918010
78,Wave Runner - 2 Items,4399737405498
