prod_id_key,prod_id_value,next_month_prod_id,prepaid
3 MONTHS,23729012754,2076477653050,t
power_moves3,69026938898,2076469657658,f
power_moves5,69026316306,2076477653050,f
go_time3,52386937778,2076469657658,f
go_time5,78480408594,2076477653050,f
power_moves3_auto,78541520914,2076469657658,f
power_moves5_auto,78657093650,2076477653050,f
go_time3_auto,91049066514,2076469657658,f
go_time5_auto1,91049230354,2076477653050,f
go_time5_auto2,91049197586,2076477653050,f
heart_soul_3item,91236466706,2076469657658,f
heart_soul_3item_auto,109303332882,2076469657658,f
heart_soul_5item,109301366802,2076477653050,f
heart_soul_5item_auto,109301366802,2076477653050,f
go_time_3item,52386037778,2076469657658,f
fit_fierce_5item,91235975186,2076477653050,f
modern_muse_5itemauto,91236368402,2076477653050,f
power_move_3_item,69026938898,2076469657658,f
fit_fierce_3item,91236171794,2076469657658,f
modern_muse_5item,91236368402,2076477653050,f
modern_muse_3item,91236466706,2076469657658,f
fit_fierce_3itemauto,91236171794,2076469657658,f
modern_muse_3itemauto,91236466706,2076469657658,f
La Vie En Rose - 3 Item,138427301906,2076469657658,f
La Vie En Rose - 3 Item  Auto renew,159581274130,2076469657658,f
La Vie En Rose - 5 Item,138427203602,2076477653050,f
La Vie En Rose - 5 Item  Auto renew,159580848146,2076477653050,f
Sweetest Thing - 3 Item,138427596818,2076469657658,f
Sweetest Thing - 3 Item  Auto renew,159587827730,2076469657658,f
Sweetest Thing - 5 Item,138427465746,2076477653050,f
Sweetest Thing - 5 Item  Auto renew,159586746386,2076477653050,f
Give Me AmorÂ - 3 Item,138427793426,2076469657658,f
Give Me Amore - 3 Item  Auto renew,159593693202,2076469657658,f
Give Me AmorÂ - 5 Item,138427695122,2076477653050,f
Give Me Amore - 5 Item  Auto renew,163444719634,2076477653050,f
Desert Sage - 3 Item,197985992722,2076469657658,f
Desert Sage - 3 Item Autorenew,210212388882,2076469657658,f
Desert Sage - 5 Item,197983830034,2076477653050,f
Desert Sage - 5 Item Autorenew,210212356114,2076477653050,f
Running Wild - 3 Item,197986877458,2076469657658,f
Running Wild - 3 item Autorenew,210212519954,2076469657658,f
Running Wild - 5 Item,197986385938,2076477653050,f
Running Wild - 5 Item Autorenew,210212454418,2076477653050,f
After Dark - 3 Item,197987074066,2076469657658,f
After Dark - 3 Item Autorenew,210212618258,2076469657658,f
After Dark -5 Item,197986910226,2076477653050,f
After Dark - 5 Item Autorenew,210212585490,2076477653050,f
Set the Pace 3 Item,175541518354,2076469657658,f
In The Zone - 3 Item,175540207634,2076469657658,f
In The Zone - 5 Item,175535685650,2076477653050,f
May Flowers - 3 Items,207131443218,2076469657658,f
May Flowers - 3 Items Auto renew,219709145106,2076469657658,f
May Flowers - 5 Items,207131279378,2076477653050,f
May Flowers - 5 Items Auto renew,219709276178,2076477653050,f
Wild Orchid -3 Items,207131803666,2076469657658,f
Wild Orchid - 3 Items Auto renew,219709407250,2076469657658,f
Wild Orchid - 5 Items,207131705362,2076477653050,f
Wild Orchid - 5 Items Auto renew,219709538322,2076477653050,f
Sky's the Limit - 3 Items,207132033042,2076469657658,f
Sky's the Limit - 3 Items Auto renew,219709702162,2076469657658,f
Sky's the Limit - 5 Items,207131967506,2076477653050,f
Skys the Limit - 5 Items Auto renew,219709767698,2076477653050,f
Rose All Day - 3 Items,224674119698,2076469657658,f
Rose All Day - 5 Items,224674086930,2076477653050,f
Rose All Day - 3 Items Auto renew,224675037202,2076469657658,f
Rose All Day - 5 Items Auto renew,224674971666,2076477653050,f
Weekend Warrior - 3 Items,224674447378,2076469657658,f
Weekend Warrior - 3 Items Auto renew,224675364882,2076469657658,f
Weekend Warrior - 5 Items,224674381842,2076477653050,f
Weekend Warrior - 5 Items Auto renew,224675299346,2076477653050,f
Back to Black - 3 Items,224674316306,2076469657658,f
Back to Black - 3 Items Auto renew,224675233810,2076469657658,f
Back to Black - 5 Items,224674283538,2076477653050,f
