prod_id_key,prod_id_value,next_month_prod_id,prepaid
Sangria Splash - 3 Items  Auto renew,2457952845882,2514830491706,f
First Chakra - 5 Items,2494100176954,2514830852154,f
Wild Heart - 5 Items,2494104698938,2514830852154,f
Golden Hour - 2 Items,2496308281402,2514830327866,f
Lowkey Luxe - 3 Items,2494103453754,2514830491706,f
3 Months - 3 Items  Auto renew,2209786298426,2514830491706,t
First Chakra - 3 Items  Auto renew,2494099554362,2514830491706,f
Golden Hour - 3 Items  Auto renew,2494101356602,2514830491706,f
Beach Bash - 2 Items,2503576387642,2514830327866,f
Golden Hour - 5 Items  Auto renew,2494101553210,2514830852154,f
First Chakra - 3 Items,2494099554362,2514830491706,f
Beach Bash - 3 Items,2457951502394,2514830491706,f
Golden Hour - 5 Items,2494101553210,2514830852154,f
Lowkey Luxe - 2 Items,2496308772922,2514830327866,f
Golden Hour - 3 Items,2494101356602,2514830491706,f
Lowkey Luxe - 5 Items,2494103683130,2514830852154,f
Adventure Time - 5 Items,2477581795386,2514830852154,f
Namaste & Slay - 3 Items,2494106861626,2514830491706,f
Sangria Splash - 5 Items,2457953173562,2514830852154,f
3 MONTHS,23729012754,2514830852154,t
Lowkey Luxe - 3 Items  Auto renew,2494103453754,2514830491706,f
Namaste & Slay - 5 Items,2494107156538,2514830852154,f
Beach Bash - 5 Items,2457951633466,2514830852154,f
3 Months - 3 Items (ships every 1 Months),2209786298426,2514830491706,t
Lowkey Luxe - 5 Items  Auto renew,2494103683130,2514830852154,f
Wild Heart - 5 Items  Auto renew,2494104698938,2514830852154,f
3 Months - 3 Items,2209786298426,2514830491706,t
Wild Heart - 3 Items,2494104535098,2514830491706,f
3 Months - 5 Items,2209789771834,2514830852154,t
3 Months - 2 Items,2506238492730,2514830327866,t
Adventure Time - 2 Items,2503573962810,2514830327866,f
Adventure Time - 3 Items,2477581697082,2514830491706,f
