id,subscription_id,address_id,customer_id,created_at,updated_at,next_charge_scheduled_at,cancelled_at,product_title,price,quantity,status,shopify_product_id,shopify_variant_id,sku,order_interval_unit,order_interval_frequency,charge_interval_frequency,order_day_of_month,order_day_of_week,raw_line_item_properties,synced_at,expire_after_specific_number_charges
2633,9531071,6396377,4654268,2017-11-30 19:35:05,2017-12-04 20:25:18,2018-01-31 00:00:00,,Power Moves - 3 Item,39.95,1,ACTIVE,69026938898,705736245266,722457911158,month,1,1,0,,"[{""name"": ""charge_interval_frequency"", ""value"": ""1""}, {""name"": ""charge_interval_unit_type"", ""value"": ""Months""}, {""name"": ""leggings"", ""value"": ""M""}, {""name"": ""main-product"", ""value"": ""true""}, {""name"": ""shipping_interval_frequency"", ""value"": ""1""}, {""name"": ""shipping_interval_unit_type"", ""value"": ""Months""}, {""name"": ""sports-bra"", ""value"": ""S""}, {""name"": ""tops"", ""value"": ""S""}]",,0
2780,9500060,6379685,6600995,2017-11-30 01:12:37,2017-11-30 20:09:58,2018-02-03 00:00:00,,Power Moves - 3 Item,39.95,1,ACTIVE,69026938898,705736245266,722457911158,month,1,1,0,,"[{""name"": ""charge_interval_frequency"", ""value"": ""1""}, {""name"": ""charge_interval_unit_type"", ""value"": ""Months""}, {""name"": ""leggings"", ""value"": ""S""}, {""name"": ""main-product"", ""value"": ""true""}, {""name"": ""shipping_interval_frequency"", ""value"": ""1""}, {""name"": ""shipping_interval_unit_type"", ""value"": ""Months""}, {""name"": ""sports-bra"", ""value"": ""S""}, {""name"": ""tops"", ""value"": ""M""}]",,0
2885,9479994,6367167,6588462,2017-11-29 13:15:15,2017-11-29 15:47:46,,,Power Moves - 3 Item,39.95,1,ACTIVE,69026938898,705736245266,722457911158,month,1,1,0,,"[{""name"": ""charge_interval_frequency"", ""value"": ""1""}, {""name"": ""charge_interval_unit_type"", ""value"": ""Months""}, {""name"": ""leggings"", ""value"": ""XL""}, {""name"": ""main-product"", ""value"": ""true""}, {""name"": ""shipping_interval_frequency"", ""value"": ""1""}, {""name"": ""shipping_interval_unit_type"", ""value"": ""Months""}, {""name"": ""sports-bra"", ""value"": ""XL""}, {""name"": ""tops"", ""value"": ""L""}]",,0
2910,9476156,6364781,6586043,2017-11-29 10:51:00,2017-11-29 13:29:01,2018-02-05 00:00:00,,Power Moves - 3 Item,39.95,1,ACTIVE,69026938898,705736245266,722457911158,month,1,1,0,,"[{""name"": ""charge_interval_frequency"", ""value"": ""1""}, {""name"": ""charge_interval_unit_type"", ""value"": ""Months""}, {""name"": ""leggings"", ""value"": ""XL""}, {""name"": ""main-product"", ""value"": ""true""}, {""name"": ""shipping_interval_frequency"", ""value"": ""1""}, {""name"": ""shipping_interval_unit_type"", ""value"": ""Months""}, {""name"": ""sports-bra"", ""value"": ""XL""}, {""name"": ""tops"", ""value"": ""XL""}]",,0
6705,8505177,5792226,6003333,2017-10-28 21:20:03,2017-11-29 17:22:23,2018-02-03 00:00:00,,Power Moves - 3 Item,39.95,1,ACTIVE,69026938898,705736245266,722457911158,month,1,1,0,,"[{""name"": ""charge_interval_frequency"", ""value"": ""1""}, {""name"": ""charge_interval_unit_type"", ""value"": ""Months""}, {""name"": ""leggings"", ""value"": ""XL""}, {""name"": ""main-product"", ""value"": ""true""}, {""name"": ""shipping_interval_frequency"", ""value"": ""1""}, {""name"": ""shipping_interval_unit_type"", ""value"": ""Months""}, {""name"": ""sports-bra"", ""value"": ""XL""}, {""name"": ""sports-jacket"", ""value"": ""L""}, {""name"": ""tops"", ""value"": ""L""}]",,0
6708,8502948,5791230,6002325,2017-10-28 19:41:04,2017-11-29 17:22:37,2018-02-05 00:00:00,,Power Moves - 3 Item,39.95,1,ACTIVE,69026938898,705736245266,722457911158,month,1,1,0,,"[{""name"": ""charge_interval_frequency"", ""value"": ""1""}, {""name"": ""charge_interval_unit_type"", ""value"": ""Months""}, {""name"": ""leggings"", ""value"": ""L""}, {""name"": ""main-product"", ""value"": ""true""}, {""name"": ""shipping_interval_frequency"", ""value"": ""1""}, {""name"": ""shipping_interval_unit_type"", ""value"": ""Months""}, {""name"": ""sports-bra"", ""value"": ""L""}, {""name"": ""sports-jacket"", ""value"": ""L""}, {""name"": ""tops"", ""value"": ""L""}]",,0
6875,8401326,5729121,5939376,2017-10-24 21:43:44,2017-11-29 17:40:44,2018-02-03 00:00:00,,Power Moves - 3 Item,39.95,1,ACTIVE,69026938898,705736245266,722457911158,month,1,1,0,,"[{""name"": ""charge_interval_frequency"", ""value"": ""1""}, {""name"": ""charge_interval_unit_type"", ""value"": ""Months""}, {""name"": ""leggings"", ""value"": ""M""}, {""name"": ""main-product"", ""value"": ""true""}, {""name"": ""shipping_interval_frequency"", ""value"": ""1""}, {""name"": ""shipping_interval_unit_type"", ""value"": ""Months""}, {""name"": ""sports-bra"", ""value"": ""M""}, {""name"": ""sports-jacket"", ""value"": ""M""}, {""name"": ""tops"", ""value"": ""M""}]",,0
8071,7720134,5267613,4402064,2017-10-03 02:18:29,2017-12-14 13:32:55,,,Power Moves - 3 Item  Auto renew,39.95,1,ACTIVE,69026938898,705736245266,722457911158,month,1,1,0,,"[{""name"": ""charge_interval_frequency"", ""value"": ""1""}, {""name"": ""charge_interval_unit_type"", ""value"": ""Months""}, {""name"": ""leggings"", ""value"": ""M""}, {""name"": ""main-product"", ""value"": ""true""}, {""name"": ""shipping_interval_frequency"", ""value"": ""1""}, {""name"": ""shipping_interval_unit_type"", ""value"": ""Months""}, {""name"": ""sports-bra"", ""value"": ""M""}, {""name"": ""sports-jacket"", ""value"": ""M""}, {""name"": ""tops"", ""value"": ""S""}]",,0
8546,7658866,5226949,5434174,2017-09-30 11:07:48,2017-11-30 18:44:59,,,Power Moves - 3 Item,39.95,1,ACTIVE,69026938898,705736245266,722457911158,month,1,1,0,,"[{""name"": ""leggings"", ""value"": ""M""}, {""name"": ""sports-bra"", ""value"": ""S""}, {""name"": ""tops"", ""value"": ""M""}, {""name"": ""sports-jacket"", ""value"": ""M""}]",,0
8645,7617155,5206193,5412485,2017-09-29 01:53:57,2017-11-29 19:05:34,,,Power Moves - 3 Item,39.95,1,ACTIVE,69026938898,705736245266,722457911158,month,1,1,0,,"[{""name"": ""charge_interval_frequency"", ""value"": ""1""}, {""name"": ""charge_interval_unit_type"", ""value"": ""Months""}, {""name"": ""leggings"", ""value"": ""XS""}, {""name"": ""main-product"", ""value"": ""true""}, {""name"": ""shipping_interval_frequency"", ""value"": ""1""}, {""name"": ""shipping_interval_unit_type"", ""value"": ""Months""}, {""name"": ""sports-bra"", ""value"": ""XS""}, {""name"": ""tops"", ""value"": ""XS""}, {""name"": ""sports-jacket"", ""value"": ""XS""}]",,0
