prod_id_key,prod_id_value,next_month_prod_id,prepaid
3 MONTHS,23729012754,1828550213690,t
power_moves3,69026938898,1828555587642,f
power_moves5,69026316306,1828550213690,f
go_time3,52386937778,1828555587642,f
go_time5,78480408594,1828550213690,f
power_moves3_auto,78541520914,1828555587642,f
power_moves5_auto,78657093650,1828550213690,f
go_time3_auto,91049066514,1828555587642,f
go_time5_auto1,91049230354,1828550213690,f
go_time5_auto2,91049197586,1828550213690,f
heart_soul_3item,91236466706,1828555587642,f
heart_soul_3item_auto,109303332882,1828555587642,f
heart_soul_5item,109301366802,1828550213690,f
heart_soul_5item_auto,109301366802,1828550213690,f
go_time_3item,52386037778,1828555587642,f
fit_fierce_5item,91235975186,1828550213690,f
modern_muse_5itemauto,91236368402,1828550213690,f
power_move_3_item,69026938898,1828555587642,f
fit_fierce_3item,91236171794,1828555587642,f
modern_muse_5item,91236368402,1828550213690,f
modern_muse_3item,91236466706,1828555587642,f
fit_fierce_3itemauto,91236171794,1828555587642,f
modern_muse_3itemauto,91236466706,1828555587642,f
La Vie En Rose - 3 Item,138427301906,1828555587642,f
La Vie En Rose - 3 Item  Auto renew,159581274130,1828555587642,f
La Vie En Rose - 5 Item,138427203602,1828550213690,f
La Vie En Rose - 5 Item  Auto renew,159580848146,1828550213690,f
Sweetest Thing - 3 Item,138427596818,1828555587642,f
Sweetest Thing - 3 Item  Auto renew,159587827730,1828555587642,f
Sweetest Thing - 5 Item,138427465746,1828550213690,f
Sweetest Thing - 5 Item  Auto renew,159586746386,1828550213690,f
Give Me AmorÂ - 3 Item,138427793426,1828555587642,f
Give Me Amore - 3 Item  Auto renew,159593693202,1828555587642,f
Give Me AmorÂ - 5 Item,138427695122,1828550213690,f
Give Me Amore - 5 Item  Auto renew,163444719634,1828550213690,f
Desert Sage - 3 Item,197985992722,1828555587642,f
Desert Sage - 3 Item Autorenew,210212388882,1828555587642,f
Desert Sage - 5 Item,197983830034,1828550213690,f
Desert Sage - 5 Item Autorenew,210212356114,1828550213690,f
Running Wild - 3 Item,197986877458,1828555587642,f
Running Wild - 3 item Autorenew,210212519954,1828555587642,f
Running Wild - 5 Item,197986385938,1828550213690,f
Running Wild - 5 Item Autorenew,210212454418,1828550213690,f
After Dark - 3 Item,197987074066,1828555587642,f
After Dark - 3 Item Autorenew,210212618258,1828555587642,f
After Dark -5 Item,197986910226,1828550213690,f
After Dark - 5 Item Autorenew,210212585490,1828550213690,f
Set the Pace 3 Item,175541518354,1828555587642,f
In The Zone - 3 Item,175540207634,1828555587642,f
In The Zone - 5 Item,175535685650,1828550213690,f
May Flowers - 3 Items,207131443218,1828555587642,f
May Flowers - 3 Items Auto renew,219709145106,1828555587642,f
May Flowers - 5 Items,207131279378,1828550213690,f
May Flowers - 5 Items Auto renew,219709276178,1828550213690,f
Wild Orchid -3 Items,207131803666,1828555587642,f
Wild Orchid - 3 Items Auto renew,219709407250,1828555587642,f
Wild Orchid - 5 Items,207131705362,1828550213690,f
Wild Orchid - 5 Items Auto renew,219709538322,1828550213690,f
Sky's the Limit - 3 Items,207132033042,1828555587642,f
Sky's the Limit - 3 Items Auto renew,219709702162,1828555587642,f
Sky's the Limit - 5 Items,207131967506,1828550213690,f
Skys the Limit - 5 Items Auto renew,219709767698,1828550213690,f
Rose All Day - 3 Items,224674119698,1828555587642,f
Rose All Day - 5 Items,224674086930,1828550213690,f
Rose All Day - 3 Items Auto renew,224675037202,1828555587642,f
Rose All Day - 5 Items Auto renew,224674971666,1828550213690,f
Weekend Warrior - 3 Items,224674447378,1828555587642,f
Weekend Warrior - 3 Items Auto renew,224675364882,1828555587642,f
Weekend Warrior - 5 Items,224674381842,1828550213690,f
Weekend Warrior - 5 Items Auto renew,224675299346,1828550213690,f
Back to Black - 3 Items,224674316306,1828555587642,f
Back to Black - 3 Items Auto renew,224675233810,1828555587642,f
Back to Black - 5 Items,224674283538,1828550213690,f
Back to Black - 5 Items Auto renew,224675135506,1828550213690,f
Print Paradise - 3 Items,1446651330618,1828555587642,f
Print Paradise - 5 Items,1446647234618,1828550213690,f
Print Paradise - 3 Items Auto renew,1508549427258,1828555587642,f
Print Paradise - 5 Items Auto renew,1508553392186,1828550213690,f
Seeing Stars - 3 Items,1446660702266,1828555587642,f
Seeing Stars - 5 Items,1446656999482,1828550213690,f
Seeing Stars - 3 Items Auto renew,1508540219450,1828555587642,f
Seeing Stars - 5 Items Auto renew,1508544643130,1828550213690,f
Vitamin Sea - 3 Items,1446669287482,1828555587642,f
Vitamin Sea - 5 Items,1446664306746,1828550213690,f
Vitamin Sea - 3 Items Auto renew,1508523147322,1828555587642,f
Vitamin Sea - 5 Items Auto renew,1508537106490,1828550213690,f
Meet Your Match - 3 Items,1719732535354,1828555587642,f
Meet Your Match - 5 Items,1719728111674,1828550213690,f
Meet Your Match - 3 Items Auto renew,1778624921658,1828555587642,f
Meet your Match - 5 items Auto renew,1778619449402,1828550213690,f
Tough Luxe - 3 Items,1719724507194,1828555587642,f
Tough Luxe - 5 Items,1719720935482,1828550213690,f
Tough Luxe - 3 Items Auto renew,1778637897786,1828555587642,f
Tough Luxe - 5 Items Auto renew,1778635964474,1828550213690,f
Power Surge - 3 Items,1719715201082,1828555587642,f
Power Surge - 5 Items,1719710810170,1828550213690,f
Power Surge - 3 Items Auto renew,1778644779066,1828555587642,f
Power Surge - 5 items Auto renew,1778643304506,1828550213690,f
