created_at,updated_at,collection_name,product_type,size,variant_sku,size_count,delivered_count
22:47.3,36:15.5,3 MONTHS,accessories,one size,7.64204E+11,7,0
22:48.2,36:16.0,3 MONTHS,equipment,one size,7.64204E+11,7,0
22:52.3,22:52.3,3 MONTHS,leggings,l,7.64204E+11,4,0
22:50.2,36:16.6,3 MONTHS,leggings,m,7.64204E+11,4,0
22:51.4,36:01.8,3 MONTHS,leggings,s,7.64204E+11,6,0
22:49.3,22:49.3,3 MONTHS,leggings,xl,7.64204E+11,0,0
22:53.3,36:17.1,3 MONTHS,sportsbra,l,7.64204E+11,3,0
22:54.4,36:02.4,3 MONTHS,sportsbra,m,7.64204E+11,7,0
22:55.3,22:55.3,3 MONTHS,sportsbra,s,7.64204E+11,3,0
22:56.5,22:56.5,3 MONTHS,sportsbra,xl,7.64204E+11,1,0
22:43.2,06:38.9,3 MONTHS,tops,l,7.64204E+11,4,0
22:44.1,36:14.9,3 MONTHS,tops,m,7.64204E+11,4,0
22:45.2,36:01.2,3 MONTHS,tops,s,7.64204E+11,5,0
22:46.3,22:46.3,3 MONTHS,tops,xs,7.64204E+11,1,0
57:16.4,35:29.9,Chill Mode - 3 Items,leggings,l,7.64204E+11,176,31
57:15.3,35:29.4,Chill Mode - 3 Items,leggings,m,7.64204E+11,339,63
57:14.3,35:28.9,Chill Mode - 3 Items,leggings,s,7.64204E+11,287,47
57:17.4,36:45.1,Chill Mode - 3 Items,leggings,xl,7.64204E+11,68,11
57:18.6,35:30.4,Chill Mode - 3 Items,leggings,xs,7.64204E+11,55,14
18:50.1,35:32.0,Chill Mode - 3 Items,sportsbra,l,7.64204E+11,223,47
18:49.1,35:32.6,Chill Mode - 3 Items,sportsbra,m,7.64204E+11,330,67
18:48.2,35:30.9,Chill Mode - 3 Items,sportsbra,s,7.64204E+11,208,30
19:01.1,35:31.4,Chill Mode - 3 Items,sportsbra,xl,7.64204E+11,82,14
19:02.1,35:33.1,Chill Mode - 3 Items,sportsbra,xs,7.64204E+11,21,8
56:00.4,35:25.6,Chill Mode - 3 Items,tops,l,7.64204E+11,203,38
55:59.4,35:26.1,Chill Mode - 3 Items,tops,m,7.64204E+11,314,60
55:58.4,35:25.0,Chill Mode - 3 Items,tops,s,7.64204E+11,280,46
56:02.4,35:27.2,Chill Mode - 3 Items,tops,xl,7.64204E+11,85,13
56:01.4,35:26.7,Chill Mode - 3 Items,tops,xs,7.64204E+11,43,9
57:33.6,36:04.1,Chill Mode - 5 Items,leggings,l,7.64204E+11,65,4
57:32.7,36:03.6,Chill Mode - 5 Items,leggings,m,7.64204E+11,85,6
57:31.5,36:03.0,Chill Mode - 5 Items,leggings,s,7.64204E+11,63,5
57:34.6,36:04.7,Chill Mode - 5 Items,leggings,xl,7.64204E+11,16,1
57:35.6,35:52.8,Chill Mode - 5 Items,leggings,xs,7.64204E+11,11,0
19:23.4,37:12.8,Chill Mode - 5 Items,sportsbra,l,7.64204E+11,61,0
19:22.4,36:05.9,Chill Mode - 5 Items,sportsbra,m,7.64204E+11,81,0
19:21.5,36:05.2,Chill Mode - 5 Items,sportsbra,s,7.64204E+11,36,0
19:24.6,35:34.4,Chill Mode - 5 Items,sportsbra,xl,7.64204E+11,16,0
19:25.6,35:53.7,Chill Mode - 5 Items,sportsbra,xs,7.64204E+11,5,0
57:27.4,37:09.4,Chill Mode - 5 Items,tops,l,7.64204E+11,64,6
57:25.4,36:00.4,Chill Mode - 5 Items,tops,m,7.64204E+11,92,5
57:26.5,36:00.9,Chill Mode - 5 Items,tops,s,7.64204E+11,55,4
57:28.4,36:01.4,Chill Mode - 5 Items,tops,xl,7.64204E+11,16,1
57:29.4,35:50.3,Chill Mode - 5 Items,tops,xs,7.64204E+11,13,0
06:35.8,06:35.8,Fierce & Floral - 3 Items,leggings,m,7.64204E+11,1,0
06:36.9,06:36.9,Fierce & Floral - 3 Items,sportsbra,m,7.64204E+11,1,0
06:34.8,06:34.8,Fierce & Floral - 3 Items,tops,m,7.64204E+11,1,0
19:36.2,35:02.3,Flower Bud - 3 Items,leggings,l,7.64204E+11,210,43
19:35.3,36:21.2,Flower Bud - 3 Items,leggings,m,7.64204E+11,475,87
19:37.2,35:02.8,Flower Bud - 3 Items,leggings,s,7.64204E+11,393,86
19:38.1,36:21.8,Flower Bud - 3 Items,leggings,xl,7.64204E+11,85,23
19:39.1,35:03.2,Flower Bud - 3 Items,leggings,xs,7.64204E+11,76,17
19:41.1,36:24.8,Flower Bud - 3 Items,sportsbra,l,7.64204E+11,282,64
19:52.2,35:04.3,Flower Bud - 3 Items,sportsbra,m,7.64204E+11,480,89
19:40.0,35:03.7,Flower Bud - 3 Items,sportsbra,s,7.64204E+11,280,70
19:53.2,34:41.7,Flower Bud - 3 Items,sportsbra,xl,7.64204E+11,106,24
19:54.1,35:04.8,Flower Bud - 3 Items,sportsbra,xs,7.64204E+11,43,9
19:29.5,35:00.2,Flower Bud - 3 Items,tops,l,7.64204E+11,241,46
19:30.7,34:59.1,Flower Bud - 3 Items,tops,m,7.64204E+11,435,76
19:31.7,34:59.7,Flower Bud - 3 Items,tops,s,7.64204E+11,376,86
19:33.4,34:36.4,Flower Bud - 3 Items,tops,xl,7.64204E+11,104,29
19:32.5,35:00.7,Flower Bud - 3 Items,tops,xs,7.64204E+11,83,19
20:51.8,35:12.0,Flower Bud - 5 Items,leggings,l,7.64204E+11,47,3
20:50.9,35:10.9,Flower Bud - 5 Items,leggings,m,7.64204E+11,89,9
20:52.8,35:11.5,Flower Bud - 5 Items,leggings,s,7.64204E+11,73,7
21:03.9,35:10.9,Flower Bud - 5 Items,leggings,xl,7.64204E+11,20,2
21:04.8,35:11.4,Flower Bud - 5 Items,leggings,xs,7.64204E+11,5,0
21:05.8,35:13.0,Flower Bud - 5 Items,sportsbra,l,7.64204E+11,48,2
21:06.9,35:12.5,Flower Bud - 5 Items,sportsbra,m,7.64204E+11,98,11
21:07.9,35:14.0,Flower Bud - 5 Items,sportsbra,s,7.64204E+11,50,4
21:08.9,35:13.6,Flower Bud - 5 Items,sportsbra,xl,7.64204E+11,29,3
21:09.9,21:09.9,Flower Bud - 5 Items,sportsbra,xs,7.64204E+11,5,1
20:46.0,35:09.4,Flower Bud - 5 Items,tops,l,7.64204E+11,50,0
20:45.1,35:08.4,Flower Bud - 5 Items,tops,m,7.64204E+11,89,0
20:47.8,35:08.9,Flower Bud - 5 Items,tops,s,7.64204E+11,49,0
20:46.9,34:47.9,Flower Bud - 5 Items,tops,xl,7.64204E+11,20,0
20:48.8,35:07.8,Flower Bud - 5 Items,tops,xs,7.64204E+11,5,0
13:53.5,13:53.5,Knot Your Average - 3 Items,leggings,s,7.64204E+11,1,0
13:54.5,13:54.5,Knot Your Average - 3 Items,sportsbra,s,7.22458E+11,1,0
13:52.5,13:52.5,Knot Your Average - 3 Items,tops,s,7.64204E+11,1,0
14:10.8,52:39.1,Knot Your Average - 5 Items,accessories,one size,7.64204E+11,2,1
14:11.8,52:39.7,Knot Your Average - 5 Items,equipment,one size,7.64204E+11,2,1
14:14.7,34:17.2,Knot Your Average - 5 Items,leggings,l,7.64204E+11,4,0
14:13.7,33:59.6,Knot Your Average - 5 Items,leggings,m,7.64204E+11,13,1
14:15.6,14:15.6,Knot Your Average - 5 Items,leggings,s,7.64204E+11,4,0
14:12.8,33:59.1,Knot Your Average - 5 Items,leggings,xs,7.64204E+11,9,0
14:29.4,14:29.4,Knot Your Average - 5 Items,sportsbra,l,7.22458E+11,2,0
14:17.4,34:00.9,Knot Your Average - 5 Items,sportsbra,m,7.22458E+11,16,1
14:16.5,34:00.2,Knot Your Average - 5 Items,sportsbra,s,7.22458E+11,9,0
14:18.5,34:17.6,Knot Your Average - 5 Items,sportsbra,xl,7.22458E+11,2,0
14:30.3,52:41.9,Knot Your Average - 5 Items,sportsbra,xs,7.22458E+11,1,0
14:08.4,34:16.6,Knot Your Average - 5 Items,tops,l,7.64204E+11,2,0
14:07.5,33:58.0,Knot Your Average - 5 Items,tops,m,7.64204E+11,12,1
13:56.4,13:56.4,Knot Your Average - 5 Items,tops,s,7.64204E+11,9,0
14:09.3,14:09.3,Knot Your Average - 5 Items,tops,xl,7.64204E+11,2,0
13:55.4,33:57.5,Knot Your Average - 5 Items,tops,xs,7.64204E+11,5,0
06:02.2,35:26.8,Morning Mantra - 3 Items,leggings,l,7.22458E+11,113,12
06:03.2,35:54.6,Morning Mantra - 3 Items,leggings,m,7.22458E+11,171,33
06:05.3,35:54.1,Morning Mantra - 3 Items,leggings,s,7.22458E+11,79,7
06:04.2,35:55.3,Morning Mantra - 3 Items,leggings,xl,7.22458E+11,59,9
06:06.2,06:06.2,Morning Mantra - 3 Items,leggings,xs,,2,0
18:29.3,35:56.8,Morning Mantra - 3 Items,sportsbra,l,7.22458E+11,85,10
18:27.5,35:55.9,Morning Mantra - 3 Items,sportsbra,m,7.22458E+11,198,34
18:28.3,37:04.8,Morning Mantra - 3 Items,sportsbra,s,7.22458E+11,45,7
18:26.4,35:56.3,Morning Mantra - 3 Items,sportsbra,xl,7.22458E+11,74,9
55:43.4,37:04.3,Morning Mantra - 3 Items,sportsbra,xs,7.64204E+11,7,1
18:20.9,35:52.1,Morning Mantra - 3 Items,tops,l,7.64204E+11,111,13
18:22.7,35:52.6,Morning Mantra - 3 Items,tops,m,7.64204E+11,174,26
18:23.6,35:53.6,Morning Mantra - 3 Items,tops,s,7.64204E+11,76,13
18:21.8,35:53.1,Morning Mantra - 3 Items,tops,xl,7.64204E+11,63,9
05:42.4,35:40.0,Morning Mantra - 5 Items,leggings,l,7.22458E+11,32,1
05:44.5,35:41.1,Morning Mantra - 5 Items,leggings,m,7.22458E+11,25,1
05:45.4,35:41.6,Morning Mantra - 5 Items,leggings,s,7.22458E+11,8,0
05:43.4,35:40.6,Morning Mantra - 5 Items,leggings,xl,7.22458E+11,22,2
20:30.4,35:42.6,Morning Mantra - 5 Items,sportsbra,l,7.22458E+11,22,2
