prod_id_key,prod_id_value,next_month_prod_id,prepaid
Bahama Babe - 3 Items,4399644639290,4366061174842,f
Bahama Babe - 5 Items,4399644934202,4366066024506,f
Berry Crush - 2 Items,4366057209914,4366060453946,f
Berry Crush - 3 Items,4366057406522,4366061174842,f
Berry Crush - 3 Items  Auto renew,4366057406522,4366061174842,f
Berry Crush - 5 Items,4366057963578,4366066024506,f
Berry Crush - 5 Items  Auto renew,4366057963578,4366066024506,f
Blue Skies - 2 Items,4398406959162,4366060453946,f
Blue Skies - 3 Items,4398408073274,4366061174842,f
Blue Skies - 3 Items Auto renew,4398408073274,4366061174842,f
Blue Skies - 5 Items,4398409089082,4366066024506,f
Boss Babe - 3 Items,2525980524602,4366061174842,f
Clean Slate - 3 Items,4373264957498,4366061174842,f
Clean Slate - 3 Items Auto renew,4373264957498,4366061174842,f
Clean Slate - 5 Items,4373306998842,4366066024506,f
Comfort Zone - 3 Items,4320734609466,4366061174842,f
Crunch Time - 5 Items,4366080311354,4366066024506,f
Floral Bliss - 3 Items,4320725106746,4366061174842,f
Floral Bliss - 5 Items,4320726024250,4366066024506,f
Hidden Gem - 2 Items,4382369808442,4366060453946,f
Hidden Gem - 3 Items,4382369906746,4366061174842,f
Hidden Gem - 5 Items,4382370824250,4366066024506,f
Making Moves - 2 Items,4398463418426,4366060453946,f
Making Moves - 3 Items,4398463516730,4366061174842,f
Making Moves - 5 Items,4398463877178,4366066024506,f
Making Moves 2 - 5 Items Auto renew,4411618820154,4366066024506,f
Namaste & Slay - 2 Items,2496309723194,4366060453946,f
Namaste & Slay - 3 Items,2494106861626,4366061174842,f
Namaste & Slay - 5 Items,2494107156538,4366066024506,f
Paradise Cove - 3 Items,4366058782778,4366061174842,f
Queen Vibes - 3 Items,4399738585146,4366061174842,f
Queen Vibes - 3 Items Auto renew,4399738585146,4366061174842,f
Queen Vibes - 5 Items,4399738912826,4366066024506,f
Second Skin - 3 Items,2525983998010,4366061174842,f
Show Your Stripes - 3 Items,4320729464890,4366061174842,f
Show Your Stripes - 5 Items,4320730775610,4366066024506,f
Under The Radar - 2 Items,4398464499770,4366060453946,f
Under The Radar - 3 Items,4398464565306,4366061174842,f
Under The Radar - 5 Items,4399643066426,4366066024506,f
Victory Lap - 3 Items,2372782751802,4366061174842,f
Wave Runner - 3 Items,4399737798714,4366061174842,f
Wave Runner - 5 Items,4399737995322,4366066024506,f
Supernova - 5 Items,4382369349690,4366066024506,f
