count,product_title,shopify_product_id
2312,Flower Bud - 3 Items,2267632697402
21,Chill Mode - 3 Items  Auto renew,2267626373178
1623,Chill Mode - 3 Items,2267626373178
769,Wine & Roses - 3 Items,2076495052858
457,Flower Bud - 5 Items,2267637678138
1,Color Theory - 3 Items,2076342452282
4,Street Smarts - The January Collection (2019),2188530778170
7,Chill Mode - 5 Items  Auto renew,2267630239802
1,Street Smarts - 3 Items,2154512613434
11,Flower Bud - 5 Items  Auto renew,2267637678138
3,Street Smarts - 5 items,2144938426426
5,Wine & Roses - 5 Items  Auto renew,2076520939578
1,Blush Crush - 3 Items,2154559995962
6,The Jet Set - 5 Items  Auto renew,2267639349306
740,Steel the Show - 5 Items,2267625160762
2,True Blue - 3 Items,2226409963578
1,Fierce & Floral - 5 Items,2227259342906
1,Street Smarts - 5 items,2188532875322
6,3 Months - 3 Items,2209786298426
5,Morning Mantra - 5 Items  Auto renew,2267641872442
1,THE ORIGINAL ELLIE WATER BOTTLE - ROSE GOLD  Auto renew,9596299218
9,Morning Mantra - 3 Items  Auto renew,2267641151546
7,Steel the Show - 5 Items  Auto renew,2267625160762
1,Peace & Pastels - 3 Items,2226413174842
3,3 Months - 5 Items,2209789771834
27,Steel the Show - 3 Items  Auto renew,2267622539322
2949,Steel the Show - 3 Items,2267622539322
1,3 MONTHS,9175678162
4,Fierce & Floral - 3 Items,2227262881850
11,Chill Mode - 3 Items,2267630239802
24,Wine & Roses - 3 Items  Auto renew,2076495052858
59,3 MONTHS,23729012754
409,Chill Mode - 5 Items,2267630239802
1,Street Smarts - 3 Items,2188530778170
187,The Jet Set - 5 Items,2267639349306
1,Knot Your Average - 3 Items,2227252559930
127,Wine & Roses - 5 Items,2076520939578
2,Meet Your Match - 3 Items,1719732535354
29,The Jet Set - 3 Items  Auto renew,2267638857786
1,Street Dreams - 5 Items,1918039687226
672,Morning Mantra - 3 Items,2267641151546
1020,The Jet Set - 3 Items,2267638857786
164,Morning Mantra - 5 Items,2267641872442
21,Chill Mode - 5 Items,2227259342906
34,Flower Bud - 3 Items  Auto renew,2267632697402
